,matched_id,rowid,school,district_y,address_y,original_name_y
106,1254,1254,Esteban Torres East LA Performing Arts Magnet(LAUSD),Los Angeles Unified,4211 Dozier St.,Esteban Torres East LA Performing Arts Magnet(LAUSD)
107,2102,2102,Fernangeles Elementary(LAUSD),Los Angeles Unified,12001 Art St.,Fernangeles Elementary(LAUSD)
108,2113,2113,Florence Griffith Joyner Elementary(LAUSD),Los Angeles Unified,1963 East 103rd St.,Florence Griffith Joyner Elementary(LAUSD)
109,1617,1617,Lovelia P. Flournoy Elementary(LAUSD),Los Angeles Unified,1630 East 111th St.,Lovelia P. Flournoy Elementary(LAUSD)
110,1617,1617,Lovelia P. Flournoy Elementary(LAUSD),Los Angeles Unified,1630 East 111th St.,Lovelia P. Flournoy Elementary(LAUSD)
111,1986,1986,Garvanza Elementary(LAUSD),Los Angeles Unified,317 North Avenue 62,Garvanza Elementary(LAUSD)
112,1988,1988,Gaspar De Portola Charter Middle(LAUSD),Los Angeles Unified,18720 Linnet St.,Gaspar De Portola Charter Middle(LAUSD)
113,1988,1988,Gaspar De Portola Charter Middle(LAUSD),Los Angeles Unified,18720 Linnet St.,Gaspar De Portola Charter Middle(LAUSD)
114,2308,2308,"Gerald A. Lawson Academy of the Arts, Mathematics and Science(LAUSD)",Los Angeles Unified,929 West 69th St.,"Gerald A. Lawson Academy of the Arts, Mathematics and Science(LAUSD)"
115,2313,2313,"Glassell Park ES Science, Technology, Engineering, Arts and Math Magnet(LAUSD)",Los Angeles Unified,2211 West Avenue 30,"Glassell Park ES Science, Technology, Engineering, Arts and Math Magnet(LAUSD)"
116,1586,1586,Graham Elementary(LAUSD),Los Angeles Unified,8407 South Fir Ave.,Graham Elementary(LAUSD)
117,1590,1590,Grant Elementary(LAUSD),Los Angeles Unified,1530 North Wilton Pl.,Grant Elementary(LAUSD)
118,1592,1592,Gratts Learning Academy for Young Scholars (GLAYS)(LAUSD),Los Angeles Unified,309 Lucas Ave.,Gratts Learning Academy for Young Scholars (GLAYS)(LAUSD)
119,1594,1594,Gridley Street Elementary(LAUSD),Los Angeles Unified,1907 Eighth St.,Gridley Street Elementary(LAUSD)
120,1596,1596,Griffith Middle(LAUSD),Los Angeles Unified,4765 East Fourth St.,Griffith Middle(LAUSD)
121,1542,1542,Haddon Avenue Elementary(LAUSD),Los Angeles Unified,10115 Haddon Ave.,Haddon Avenue Elementary(LAUSD)
122,2000,2000,Harmony Elementary(LAUSD),Los Angeles Unified,899 East 42nd St.,Harmony Elementary(LAUSD)
123,2000,2000,Harmony Elementary(LAUSD),Los Angeles Unified,899 East 42nd St.,Harmony Elementary(LAUSD)
124,2001,2001,Harold McAlister High (Opportunity)(LAUSD),Los Angeles Unified,611 South Carondelet St.,Harold McAlister High (Opportunity)(LAUSD)
125,0,,,,,
126,2009,2009,Haskell Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet(LAUSD),Los Angeles Unified,15850 Tulsa St.,Haskell Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet(LAUSD)
127,2315,2315,Helen Bernstein High(LAUSD),Los Angeles Unified,1309 North Wilton Pl.,Helen Bernstein High(LAUSD)
128,2315,2315,Helen Bernstein High(LAUSD),Los Angeles Unified,1309 North Wilton Pl.,Helen Bernstein High(LAUSD)
129,2166,2166,"Hilda L. Solis Learning Academy School of Technology, Business and Education(LAUSD)",Los Angeles Unified,319 North Humphreys Ave.,"Hilda L. Solis Learning Academy School of Technology, Business and Education(LAUSD)"
130,1545,1545,Hobart Boulevard Elementary(LAUSD),Los Angeles Unified,980 South Hobart Blvd.,Hobart Boulevard Elementary(LAUSD)
131,1546,1546,Hollenbeck Middle(LAUSD),Los Angeles Unified,2510 East Sixth St.,Hollenbeck Middle(LAUSD)
132,1546,1546,Hollenbeck Middle(LAUSD),Los Angeles Unified,2510 East Sixth St.,Hollenbeck Middle(LAUSD)
133,1546,1546,Hollenbeck Middle(LAUSD),Los Angeles Unified,2510 East Sixth St.,Hollenbeck Middle(LAUSD)
134,2023,2023,Hooper Avenue Primary Center(LAUSD),Los Angeles Unified,1280 East 52nd St.,Hooper Avenue Primary Center(LAUSD)
135,1276,1276,James A. Garfield Senior High(LAUSD),Los Angeles Unified,5101 East Sixth St.,James A. Garfield Senior High(LAUSD)
136,1306,1306,James Monroe High(LAUSD),Los Angeles Unified,9229 Haskell Ave.,James Monroe High(LAUSD)
137,1306,1306,James Monroe High(LAUSD),Los Angeles Unified,9229 Haskell Ave.,James Monroe High(LAUSD)
138,1306,1306,James Monroe High(LAUSD),Los Angeles Unified,9229 Haskell Ave.,James Monroe High(LAUSD)
139,1306,1306,James Monroe High(LAUSD),Los Angeles Unified,9229 Haskell Ave.,James Monroe High(LAUSD)
140,1312,1312,John Adams Middle(LAUSD),Los Angeles Unified,151 West 30th St.,John Adams Middle(LAUSD)
141,1314,1314,John Burroughs Middle(LAUSD),Los Angeles Unified,600 South McCadden Pl.,John Burroughs Middle(LAUSD)
142,1316,1316,John F. Kennedy High(LAUSD),Los Angeles Unified,11254 Gothic Ave.,John F. Kennedy High(LAUSD)
143,1316,1316,John F. Kennedy High(LAUSD),Los Angeles Unified,11254 Gothic Ave.,John F. Kennedy High(LAUSD)
144,1316,1316,John F. Kennedy High(LAUSD),Los Angeles Unified,11254 Gothic Ave.,John F. Kennedy High(LAUSD)
