id,district,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
567,LAUSD,,Fernangeles DL One & Two-Way Im Spanish (LAUSD),Fernangeles DL One & Two-Way Im Spanish,True,12001 Art St,,Sun Valley,,,False
568,LAUSD,Active,Fernangeles Elementary (LAUSD),Fernangeles Elementary,True,12001 Art St,12001 Art St.,Sun Valley,Sun Valley, 100.0,False
569,LAUSD,Active,Figueroa Street Elementary (LAUSD),Figueroa Street Elementary,True,510 W 111th St,510 West 111th St.,Los Angeles,Los Angeles, 100.0,False
570,LAUSD,Active,Fishburn Avenue Elementary (LAUSD),Fishburn Avenue Elementary,True,5701 Fishburn Ave,5701 Fishburn Ave.,Maywood,Maywood, 100.0,False
571,LAUSD,,Fishburn Avenue Elementary DL Two-Way Im Spanish (LAUSD),Fishburn Avenue Elementary DL Two-Way Im Spanish,True,5701 Fishburn Ave,,Maywood,, 90.0,False
572,LAUSD,Active,Fletcher Drive Elementary (LAUSD),Fletcher Drive Elementary,True,3350 Fletcher Dr,3350 Fletcher Dr.,Los Angeles,Los Angeles, 100.0,False
573,LAUSD,,Fletcher Drive Elementary STEAM Magnet (LAUSD),Fletcher Drive Elementary STEAM Magnet,True,3350 Fletcher Dr,,Los Angeles,, 90.0,False
574,LAUSD,Active,Florence Avenue Elementary (LAUSD),Florence Avenue Elementary,True,7211 Bell Ave,7211 Bell Ave.,Los Angeles,Los Angeles, 100.0,False
575,LAUSD,,Florence Avenue Elementary DL Two-Way Im Spanish (LAUSD),Florence Avenue Elementary DL Two-Way Im Spanish,True,7211 Bell Ave,,Los Angeles,, 90.0,False
576,LAUSD,,Florence Griffith Joyner Elem Visual/Perf Arts Magnet (LAUSD),Florence Griffith Joyner Elem Visual/Perf Arts Magnet,True,1963 E 103rd St,,Los Angeles,,,False
577,LAUSD,Active,Florence Griffith Joyner Elementary (LAUSD),Florence Griffith Joyner Elementary,True,1963 E 103rd St,1963 East 103rd St.,Los Angeles,Los Angeles, 100.0,False
578,LAUSD,,Florence Nightingale Middle Med/Hea/Kinesiology Magnet (LAUSD),Florence Nightingale Middle Med/Hea/Kinesiology Magnet,True,3311 N Figueroa St,,Los Angeles,, 90.0,False
579,LAUSD,,Florence Nightingale Middle School (LAUSD),Florence Nightingale Middle School,True,3311 N Figueroa St,,Los Angeles,, 95.0,False
580,LAUSD,,Florence Nightingale Middle School Bus Entrprshp Tech Magnet (LAUSD),Florence Nightingale Middle School Bus Entrprshp Tech Magnet,True,3311 N Figueroa St,,Los Angeles,, 90.0,False
581,LAUSD,,Florence Nightingale Middle School Gifted STEM Magnet (LAUSD),Florence Nightingale Middle School Gifted STEM Magnet,True,3311 N Figueroa St,,Los Angeles,, 90.0,False
582,LAUSD,,Flournoy Elementary DL Two-Way Im Spanish (LAUSD),Flournoy Elementary DL Two-Way Im Spanish,True,1630 E 111th St,,Los Angeles,, 90.0,False
583,LAUSD,Active,Ford Boulevard Elementary (LAUSD),Ford Boulevard Elementary,True,1112 S Ford Blvd,1112 South Ford Blvd.,Los Angeles,Los Angeles, 100.0,False
584,LAUSD,,Ford Boulevard Elementary DL Two-Way Im Spanish (LAUSD),Ford Boulevard Elementary DL Two-Way Im Spanish,True,1112 S Ford Blvd,,Los Angeles,, 90.0,False
585,LAUSD,Active,Foshay Learning Center (LAUSD),Foshay Learning Center,True,3751 S Harvard Blvd,3751 South Harvard Blvd.,Los Angeles,Los Angeles, 100.0,False
586,LAUSD,,Francisco Bravo Senior High Medical Magnet (LAUSD),Francisco Bravo Senior High Medical Magnet,True,1200 N Cornwell St,,Los Angeles,, 95.0,False
587,LAUSD,,Francisco Sepulveda Middle Kine/Sports Medicine Magnet (LAUSD),Francisco Sepulveda Middle Kine/Sports Medicine Magnet,True,15330 Plummer St,,North Hills,, 90.0,False
588,LAUSD,,Francisco Sepulveda Middle School (LAUSD),Francisco Sepulveda Middle School,True,15330 Plummer St,,North Hills,, 95.0,False
589,LAUSD,,Francisco Sepulveda Middle School Gifted Magnet (LAUSD),Francisco Sepulveda Middle School Gifted Magnet,True,15330 Plummer St,,North Hills,, 90.0,False
590,LAUSD,Active,Frank Del Olmo Elementary (LAUSD),Frank Del Olmo Elementary,True,100 N New Hampshire Ave,100 North New Hampshire Ave.,Los Angeles,Los Angeles, 100.0,False
591,LAUSD,Active,Franklin Avenue Elementary (LAUSD),Franklin Avenue Elementary,True,1910 N Commonwealth Ave,1910 North Commonwealth Ave.,Los Angeles,Los Angeles, 100.0,False
592,LAUSD,,Frida Kahlo Continuation High (LAUSD),Frida Kahlo Continuation High,True,1924 S Los Angeles St,,Los Angeles,, 90.0,False
593,LAUSD,Active,Fries Avenue Elementary (LAUSD),Fries Avenue Elementary,True,1301 Fries Ave,1301 Fries Ave.,Wilmington,Wilmington, 100.0,False
594,LAUSD,Active,Fullbright Avenue Elementary (LAUSD),Fullbright Avenue Elementary,True,6940 Fullbright Ave,6940 Fullbright Ave.,Winnetka,Canoga Park, 100.0,False
595,LAUSD,,Fullbright Avenue Elementary DL Two-Way Im Spanish (LAUSD),Fullbright Avenue Elementary DL Two-Way Im Spanish,True,6940 Fullbright Av,,Winnetka,, 90.0,False
596,LAUSD,Active,Garden Grove Elementary (LAUSD),Garden Grove Elementary (Los Angeles Unified),True,18141 Valerio St,18141 Valerio St.,Reseda,Reseda, 100.0,True
597,LAUSD,Active,Garden Grove Elementary (LAUSD),Garden Grove Elementary (Simi Valley Unified),True,18141 Valerio St,2250 North Tracy Ave.,Reseda,Simi Valley, 100.0,True
598,LAUSD,Active,Gardena Elementary (LAUSD),Gardena Elementary,True,647 W Gardena Blvd,647 West Gardena Blvd.,Gardena,Gardena, 100.0,False
599,LAUSD,,Gardena Elementary DL Two-Way Im Spanish (LAUSD),Gardena Elementary DL Two-Way Im Spanish,True,647 W Gardena Blvd,,Gardena,, 90.0,False
600,LAUSD,Active,Gardena Senior High (LAUSD),Gardena Senior High,True,1301 W 182nd St,1301 West 182nd St.,Gardena,Gardena, 100.0,False
601,LAUSD,,Gardena Senior High Global Business Magnet (LAUSD),Gardena Senior High Global Business Magnet,True,1301 W 182nd St,,Gardena,, 90.0,False
602,LAUSD,,Gardena Senior High Law/Public Service Magnet (LAUSD),Gardena Senior High Law/Public Service Magnet,True,1301 W 182nd St,,Gardena,, 90.0,False
603,LAUSD,Active,Gardner Street Elementary (LAUSD),Gardner Street Elementary,True,7450 Hawthorn Ave,7450 Hawthorn Ave.,Los Angeles,Los Angeles, 100.0,False
604,LAUSD,,Garvanza Elementary Technology/Leadership Magnet (LAUSD),Garvanza Elementary Technology/Leadership Magnet,True,317 N Avenue 62,,Los Angeles,, 90.0,False
605,LAUSD,Active,Gaspar de Portola Charter Middle (LAUSD),Gaspar de Portola Charter Middle,True,18720 Linnet St,18720 Linnet St.,Tarzana,Tarzana, 100.0,False
606,LAUSD,,Gaspar de Portola Charter Middle Highly Gifted Magnet (LAUSD),Gaspar de Portola Charter Middle Highly Gifted Magnet,True,18720 Linnet St,,Tarzana,, 90.0,False
607,LAUSD,,Gaspar de Portola CM - Academy of Integrated Arts & Tech (LAUSD),Gaspar de Portola CM - Academy of Integrated Arts & Tech,True,18720 Linnet St,,Tarzana,,,False
608,LAUSD,Active,Gates Street Elementary (LAUSD),Gates Street Elementary,True,3333 Manitou Ave,3333 Manitou Ave.,Los Angeles,Los Angeles, 100.0,False
609,LAUSD,,Gates Street Elementary DL Two-Way Im Mandarin (LAUSD),Gates Street Elementary DL Two-Way Im Mandarin,True,3333 Manitou Ave,,Los Angeles,, 90.0,False
610,LAUSD,,Gates Street Elementary DL Two-Way Im Spanish (LAUSD),Gates Street Elementary DL Two-Way Im Spanish,True,3333 Manitou Ave,,Los Angeles,, 90.0,False
611,LAUSD,Active,Gault Street Elementary (LAUSD),Gault Street Elementary,True,17000 Gault St,17000 Gault St.,Lake Balboa,Lake Balboa, 100.0,False
612,LAUSD,Active,George de la Torre Jr Elementary (LAUSD),George de la Torre Jr Elementary,True,500 N Island Ave,500 North Island Ave.,Wilmington,Wilmington, 100.0,False
613,LAUSD,,George De la Torre Jr Elementary STEAM Magnet (LAUSD),George De la Torre Jr Elementary STEAM Magnet,True,500 N Island Ave,,Wilmington,, 95.0,False
614,LAUSD,Active,George Ellery Hale Charter Academy (LAUSD),George Ellery Hale Charter Academy,True,23830 Califa St,23830 Califa St.,Woodland Hills,Woodland Hills, 100.0,False
615,LAUSD,,George Ellery Hale Charter Academy Gifted STEAM Magnet (LAUSD),George Ellery Hale Charter Academy Gifted STEAM Magnet,True,23830 Califa St,,Woodland Hills,, 90.0,False
616,LAUSD,,George Ellery Hale Charter Academy VAPA Magnet (LAUSD),George Ellery Hale Charter Academy VAPA Magnet,True,23830 Califa St,,Woodland Hills,, 95.0,False
617,LAUSD,,George K Porter Middle School (LAUSD),George K Porter Middle School,True,15960 Kingsbury St,,Granada Hills,, 95.0,False
618,LAUSD,,George K Porter Middle School Gifted Magnet (LAUSD),George K Porter Middle School Gifted Magnet,True,15960 Kingsbury St,,Granada Hills,, 90.0,False
619,LAUSD,,George S Patton Continuation High (LAUSD),George S Patton Continuation High,True,24514 S Western Ave,,Harbor City,, 95.0,False
620,LAUSD,,George Washington Carver Middle School (LAUSD),George Washington Carver Middle School,True,4410 Mc Kinley Ave,,Los Angeles,, 95.0,False
621,LAUSD,,George Washington Preparatory Senior High (LAUSD),George Washington Preparatory Senior High,True,10860 S Denker Ave,,Los Angeles,, 95.0,False
622,LAUSD,,George Washington Preparatory Senior High STEAM Magnet (LAUSD),George Washington Preparatory Senior High STEAM Magnet,True,10860 S Denker Ave,,Los Angeles,, 90.0,False
623,LAUSD,,Gerald A Lawson Academy of the Arts Math Science Elementary (LAUSD),Gerald A Lawson Academy of the Arts Math Science Elementary,True,929 W 69th St,,Los Angeles,, 90.0,False
624,LAUSD,Active,Germain Academy for Academic Achievement (LAUSD),Germain Academy for Academic Achievement,True,20730 Germain St,20730 Germain St.,Chatsworth,Chatsworth, 100.0,False
625,LAUSD,Active,Gil Garcetti Learning Academy (LAUSD),Gil Garcetti Learning Academy,True,612 W 68th St,612 West 68th St.,Los Angeles,Los Angeles, 100.0,False
626,LAUSD,,"Girls Academic Leadership, Dr Michelle King School for STEM (LAUSD)","Girls Academic Leadership, Dr Michelle King School for STEM",True,1067 West Blvd,,Los Angeles,, 90.7207207207207,False
627,LAUSD,,Glassell Park Elementary STEAM Magnet (LAUSD),Glassell Park Elementary STEAM Magnet,True,2211 W Avenue 30,,Los Angeles,, 90.0,False
628,LAUSD,Active,Gledhill Street Elementary (LAUSD),Gledhill Street Elementary,True,16030 Gledhill St,16030 Gledhill St.,North Hills,North Hills, 100.0,False
629,LAUSD,,Gledhill Street Elementary Science/Tech/Math Magnet (LAUSD),Gledhill Street Elementary Science/Tech/Math Magnet,True,16030 Gledhill St,,North Hills,, 90.0,False
630,LAUSD,Active,Glen Alta Elementary (LAUSD),Glen Alta Elementary,True,3410 Sierra St,3410 Sierra St.,Los Angeles,Los Angeles, 100.0,False
631,LAUSD,Active,Glenfeliz Boulevard Elementary (LAUSD),Glenfeliz Boulevard Elementary,True,3955 Glenfeliz Blvd,3955 Glenfeliz Blvd.,Los Angeles,Los Angeles, 100.0,False
632,LAUSD,,Glenn Hammond Curtiss Middle School (LAUSD),Glenn Hammond Curtiss Middle School,True,1254 E Helmick St,,Carson,, 95.0,False
633,LAUSD,,Glenn Hammond Curtiss Middle School STEAM Magnet (LAUSD),Glenn Hammond Curtiss Middle School STEAM Magnet,True,1254 E Helmick St,,Carson,, 90.0,False
634,LAUSD,Active,Glenwood Elementary (LAUSD),Glenwood Elementary (Los Angeles Unified),True,8001 Ledge Ave,8001 Ledge Ave.,Sun Valley,Sun Valley, 100.0,True
635,LAUSD,Active,Glenwood Elementary (LAUSD),Glenwood Elementary (San Rafael City Elementary),True,8001 Ledge Ave,25 Castlewood Dr.,Sun Valley,San Rafael, 100.0,True
636,LAUSD,Active,Glenwood Elementary (LAUSD),Glenwood Elementary (Robla Elementary),True,8001 Ledge Ave,201 Jessie Ave.,Sun Valley,Sacramento, 100.0,True
637,LAUSD,Active,Glenwood Elementary (LAUSD),Glenwood Elementary (Linden Unified),True,8001 Ledge Ave,2005 North Alpine Rd.,Sun Valley,Stockton, 100.0,True
638,LAUSD,Active,Glenwood Elementary (LAUSD),Glenwood Elementary (Conejo Valley Unified),True,8001 Ledge Ave,1135 Windsor Dr.,Sun Valley,Thousand Oaks, 100.0,True
639,LAUSD,Active,Graham Elementary (LAUSD),Graham Elementary,True,8407 S Fir Ave,8407 South Fir Ave.,Los Angeles,Los Angeles, 100.0,False
640,LAUSD,,Graham Elementary DL Two-Way Im Spanish (LAUSD),Graham Elementary DL Two-Way Im Spanish,True,8407 S Fir Ave,,Los Angeles,, 90.0,False
641,LAUSD,Active,Granada Elementary (LAUSD),Granada Elementary (Alhambra Unified),True,17170 Tribune St,100 South Granada Ave.,Granada Hills,Alhambra, 100.0,True
642,LAUSD,Active,Granada Elementary (LAUSD),Granada Elementary (Los Angeles Unified),True,17170 Tribune St,17170 Tribune St.,Granada Hills,Granada Hills, 100.0,True
643,LAUSD,Closed,Granada Elementary (LAUSD),Granada Elementary (Reed Union Elementary),True,17170 Tribune St,50 El Camino Dr.,Granada Hills,Corte Madera, 100.0,True
644,LAUSD,Active,Grand View Boulevard Elementary (LAUSD),Grand View Boulevard Elementary,True,3951 Grand View Blvd,3951 Grand View Blvd.,Los Angeles,Los Angeles, 100.0,False
645,LAUSD,,Grand View Boulevard Elementary DL Two-Way Im Spanish (LAUSD),Grand View Boulevard Elementary DL Two-Way Im Spanish,True,3951 Grand View Blvd,,Los Angeles,, 90.0,False
646,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (San Lorenzo Unified),True,1530 N Wilton Pl,879 Grant Ave.,Los Angeles,San Lorenzo, 100.0,True
647,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (Antioch Unified),True,1530 N Wilton Pl,4325 Spaulding St.,Los Angeles,Antioch, 100.0,True
648,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (West Contra Costa Unified),True,1530 N Wilton Pl,2400 Downer Ave.,Los Angeles,Richmond, 100.0,True
649,LAUSD,Merged,Grant Elementary (LAUSD),Grant Elementary (Eureka City Elementary),True,1530 N Wilton Pl,Oak and H Sts.,Los Angeles,Eureka, 100.0,True
650,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (Eureka City Schools),True,1530 N Wilton Pl,3901 G St.,Los Angeles,Eureka, 100.0,True
651,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (Long Beach Unified),True,1530 N Wilton Pl,1225 East 64th St.,Los Angeles,Long Beach, 100.0,True
652,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (Los Angeles Unified),True,1530 N Wilton Pl,1530 North Wilton Pl.,Los Angeles,Los Angeles, 100.0,True
653,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (Santa Monica-Malibu Unified),True,1530 N Wilton Pl,2368 Pearl St.,Los Angeles,Santa Monica, 100.0,True
654,LAUSD,Closed,Grant Elementary (LAUSD),Grant Elementary (Riverside Unified),True,1530 N Wilton Pl,4011 14th St.,Los Angeles,Riverside, 100.0,True
655,LAUSD,Closed,Grant Elementary (LAUSD),Grant Elementary (Stockton Unified),True,1530 N Wilton Pl,1800 South Sutter St.,Los Angeles,Stockton, 100.0,True
656,LAUSD,Closed,Grant Elementary (LAUSD),Grant Elementary (Cupertino Union),True,1530 N Wilton Pl,22515 Holt Ave.,Los Angeles,Los Altos, 100.0,True
657,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (San Jose Unified),True,1530 N Wilton Pl,470 East Jackson St.,Los Angeles,San Jose, 100.0,True
658,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (Grant Elementary),True,1530 N Wilton Pl,8835 Swasey Dr.,Los Angeles,Redding, 100.0,True
