school,district,street,city,state,zip
Durfee Elementary (El Monte) (El Monte City),El Monte City,12233 Star St.,El Monte,CA,91732-1799
Gidley Elementary (El Monte City),El Monte City,10226 East Lower Azusa Rd.,El Monte,CA,91731-1175
Legore Elementary (El Monte City),El Monte City,11121 Bryant Rd.,El Monte,CA,91731-2053
Nativity (El Monte City),El Monte City,10907 St. Louis Dr.,El Monte,CA,91731-2031
New Lexington Elementary (El Monte City),El Monte City,10410 East Bodger St.,El Monte,CA,91733-1314
Potrero Elementary (El Monte City),El Monte City,2611 North Potrero Ave.,El Monte,CA,91733-1803
Rio Hondo Elementary (El Monte City),El Monte City,11425 Wildflower Rd.,Arcadia,CA,91006-5999
Rio Vista Elementary (El Monte City),El Monte City,4300 North Esto,El Monte,CA,91731-1916
Shield of Faith Christian School-EHE (El Monte City),El Monte City,4900 Kings Row,El Monte,CA,91731-1483
Shirpser Elementary (El Monte City),El Monte City,4020 North Gibson Rd.,El Monte,CA,91731-1816
Sunshine Education Academy (El Monte City),El Monte City,10503 Valley Blvd,El Monte,CA,91731-2475
Thompson Elementary (El Monte City),El Monte City,4544 Maxson Rd.,El Monte,CA,91732-1798
Wilkerson Elementary (El Monte City),El Monte City,2700 North Doreen Ave.,El Monte,CA,91733-2235
Wright Elementary (El Monte City),El Monte City,11317 East McGirk Rd.,El Monte,CA,91732-1899
American Hollywood Film Academy (El Monte City),El Monte City,"10505 Valley Blvd., Number 234-2",El Monte,CA,91731
Arroyo High (El Monte Union High),El Monte Union High,4921 North Cedar Ave.,El Monte,CA,91732-1099
El Monte High (El Monte Union High),El Monte Union High,3048 North Tyler Ave.,El Monte,CA,91731-3365
El Monte Union High School Community Day (El Monte Union High),El Monte Union High,5050 Kings Row,El Monte,CA,91731-5405
El Monte/Rosemead Adult (El Monte Union High),El Monte Union High,10807 Ramona Blvd.,El Monte,CA,91731-2627
Fernando R. Ledesma Continuation High (El Monte Union High),El Monte Union High,12347 Ramona Blvd.,El Monte,CA,91732-2569
Mountain View High (El Monte Union High),El Monte Union High,2900 Pkwy. Dr.,El Monte,CA,91732-3695
New Life Christian School (El Monte Union High),El Monte Union High,3523 Meeker Ave.,El Monte,CA,91731-3213
