school,district,street,city,state,zip
Rio Hondo Preparatory (El Monte Union High),El Monte Union High,5150 Farna Ave.,Arcadia,CA,91006-5966
Rosemead High (El Monte Union High),El Monte Union High,9063 East Mission Dr.,Rosemead,CA,91770-4411
South El Monte High (El Monte Union High),El Monte Union High,1001 Durfee Ave.,South El Monte,CA,91733-4409
Birney Tech Academy (El Rancho Unified),El Rancho Unified,8501 Orange Ave.,Pico Rivera,CA,90660-5543
Durfee Elementary (Pico Rivera) (El Rancho Unified),El Rancho Unified,4220 South Durfee Ave.,Pico Rivera,CA,90660-1709
Early Learning Program (El Rancho Unified),El Rancho Unified,9515 Haney St.,Pico Rivera,CA,90660-3622
El Rancho Adult (El Rancho Unified),El Rancho Unified,9515 Haney St.,Pico Rivera,CA,90660-3399
El Rancho High (El Rancho Unified),El Rancho Unified,6501 South Passons Blvd.,Pico Rivera,CA,90660-3373
Ellen Ochoa Prep Academy (El Rancho Unified),El Rancho Unified,8110 Paramount Blvd.,Pico Rivera,CA,90660-4814
Magee Academy of Arts & Sciences (El Rancho Unified),El Rancho Unified,8200 Serapis Ave.,Pico Rivera,CA,90660-5141
North Park Academy of the Arts (El Rancho Unified),El Rancho Unified,4450 South Durfee Ave.,Pico Rivera,CA,90660-2016
North Ranchito Elementary (El Rancho Unified),El Rancho Unified,8837 East Olympic Blvd.,Pico Rivera,CA,90660-2336
Rio Vista Elementary (El Rancho Unified),El Rancho Unified,8809 Coffman-Pico Rd.,Pico Rivera,CA,90660-3226
Rivera Elementary (El Rancho Unified),El Rancho Unified,7250 Citronell St.,Pico Rivera,CA,90660-4020
Rivera Middle (El Rancho Unified),El Rancho Unified,7200 Citronell Ave.,Pico Rivera,CA,90660-4020
Ruben Salazar Continuation (El Rancho Unified),El Rancho Unified,9115 Balfour St.,Pico Rivera,CA,90660-3225
South Ranchito Dual Language Academy (El Rancho Unified),El Rancho Unified,5241 South Passons Blvd.,Pico Rivera,CA,90660-2826
St. Hilary (El Rancho Unified),El Rancho Unified,5401 Citronell Ave,Pico Rivera,CA,90660-2707
St. Marianne De Parades Elementary (El Rancho Unified),El Rancho Unified,7911 Buhman Ave,Pico Rivera,CA,90660-4725
