rowid,school,district,street,city,state,zip
805,Abraham Joshua Heschel Day School (Independent Charter Schools District),Independent Charter Schools District,17701 Devonshire St.,Northridge,CA,91325-1213
806,Discovery Charter Preparatory #2 (Independent Charter Schools District),Independent Charter Schools District,13570 Eldridge Ave.,Sylmar,CA,91342-2343
807,Frederick K.C. Price III Christian Schools (Independent Charter Schools District),Independent Charter Schools District,7901 S. Vermont Ave.,Los Angeles,CA,90044-3531
808,Hollywood Schoolhouse (Independent Charter Schools District),Independent Charter Schools District,1233 North McCadden Pl.,Los Angeles,CA,90038-1214
809,Birmingham Community Charter High (Independent Charter Schools District),Independent Charter Schools District,17000 Haynes St.,Lake Balboa,CA,91406-5420
810,Bishop Conaty Our Lady of Loretto High School (Independent Charter Schools District),Independent Charter Schools District,2900 West Pico Blvd.,Los Angeles,CA,90006-3802
811,CHIME Institute's Schwarzenegger Community (Independent Charter Schools District),Independent Charter Schools District,19722 Collier St.,Woodland Hills,CA,91364-3618
812,City Language Immersion Charter (Independent Charter Schools District),Independent Charter Schools District,4001 Venice Blvd.,Los Angeles,CA,90019-6009
813,Granada Hills Charter (Independent Charter Schools District),Independent Charter Schools District,10535 Zelzah Ave.,Granada Hills,CA,91344-5902
814,Los Angeles Academy of Arts and Enterprise (Independent Charter Schools District),Independent Charter Schools District,1200 West Colton St.,Los Angeles,CA,90026-5816
815,Los Angeles Leadership Academy (Independent Charter Schools District),Independent Charter Schools District,234 East Avenue 33,Los Angeles,CA,90031-1937
816,Los Angeles Leadership Primary Academy (Independent Charter Schools District),Independent Charter Schools District,2670 Griffin Ave.,Los Angeles,CA,90031-2311
817,Los Feliz Charter Middle School for the Arts (Independent Charter Schools District),Independent Charter Schools District,2709 Media Center Dr.,Los Angeles,CA,90065-1700
818,Los Feliz Charter School for the Arts (Independent Charter Schools District),Independent Charter Schools District,2709 Media Center Dr.,Los Angeles,CA,90065-1700
819,Louisville High School (Independent Charter Schools District),Independent Charter Schools District,22300 Mulholland Dr.,Woodland Hills,CA,91364-4933
820,Loyola High School of Los Angeles (Independent Charter Schools District),Independent Charter Schools District,1901 Venice Blvd.,Los Angeles,CA,90006-4401
821,Ocean Charter (Independent Charter Schools District),Independent Charter Schools District,12606 Culver Blvd.,Los Angeles,CA,90066-6506
822,St. Bernard Elementary (Independent Charter Schools District),Independent Charter Schools District,3254 Verdgugo Rd.,Los Angeles,CA,90065
823,The Archer School for Girls (Independent Charter Schools District),Independent Charter Schools District,11725 Sunset Blvd.,Los Angeles,CA,90049-2918
824,The City School (Independent Charter Schools District),Independent Charter Schools District,17424 Sherman Way,Lake Balboa,CA,91406-3506
825,The Episcopal School of Los Angeles (Independent Charter Schools District),Independent Charter Schools District,6325 Santa Monica Blvd.,Los Angeles,CA,90038-1694
826,The John Thomas Dye School (Independent Charter Schools District),Independent Charter Schools District,11414 Chalon Rd.,Los Angeles,CA,90049-1700
827,Immaculate Heart High School and Middle School (Independent Charter Schools District),Independent Charter Schools District,5515 Franklin Ave,Los Angeles,CA,90028-5901
828,Ingenium Charter (Independent Charter Schools District),Independent Charter Schools District,22250 Elkwood St.,Canoga Park,CA,91304-5501
829,Ingenium Charter Middle (Independent Charter Schools District),Independent Charter Schools District,7330 Winnetka Ave.,Winnetka,CA,91306-2905
830,International School of Los Angeles-BB (Independent Charter Schools District),Independent Charter Schools District,1105 West Riverside Dr.,Burbank,CA,91506-3214
831,Larchmont Charter (Independent Charter Schools District),Independent Charter Schools District,1265 North Fairfax Ave.,West Hollywood,CA,90046-5205
832,Montessori Academy of West Adams (Independent Charter Schools District),Independent Charter Schools District,4449 W Adams Blvd,Los Angeles,CA,90016-3058
833,Multicultural Learning Center (Independent Charter Schools District),Independent Charter Schools District,7510 DeSoto Ave.,Canoga Park,CA,91303-1430
834,N.E.W. Academy Canoga Park (Independent Charter Schools District),Independent Charter Schools District,21425 Cohasset St.,Canoga Park,CA,91303-1450
835,PREPA TEC - Los Angeles (Independent Charter Schools District),Independent Charter Schools District,2665 Clarendon Ave.,Huntington Park,CA,90255-4138
836,Public Policy Charter (Independent Charter Schools District),Independent Charter Schools District,1701 Browning Blvd.,Los Angeles,CA,90062-1302
837,Intellectual Virtues Academy of Long Beach (Independent Charter Schools District),Independent Charter Schools District,3601 Linden Ave.,Long Beach,CA,90807-4001
838,North Valley Military Institute College Preparatory Academy (Independent Charter Schools District),Independent Charter Schools District,12105 Allegheny St.,Sun Valley,CA,91352
839,Bright Star Secondary Charter Academy (Independent Charter Schools District),Independent Charter Schools District,1600 W. Imperial Hwy.,Los Angeles,CA,90047-4810
840,Briskin Elementary School of Temple Israel of Hollywood (Independent Charter Schools District),Independent Charter Schools District,7300 Hollywood Blvd.,Los Angeles,CA,90046-2904
841,Environmental Charter High (Independent Charter Schools District),Independent Charter Schools District,16315 Grevillea Ave.,Lawndale,CA,90260-2858
842,New Village Girls Academy (Independent Charter Schools District),Independent Charter Schools District,147 North Occidental Blvd.,Los Angeles,CA,90026-4601
843,Northpoint School (Independent Charter Schools District),Independent Charter Schools District,9650 Zelzah Ave.,Northridge,CA,91325-2003
844,Da Vinci RISE High (Independent Charter Schools District),Independent Charter Schools District,201 North Douglas St.,El Segundo,CA,90245-4637
845,New Designs Charter (Independent Charter Schools District),Independent Charter Schools District,2303 South Figueroa Way,Los Angeles,CA,90007-2504
846,New Designs Charter School-Watts (Independent Charter Schools District),Independent Charter Schools District,12714 South Avalon Blvd.,Los Angeles,CA,90061-2730
847,New Heights Charter (Independent Charter Schools District),Independent Charter Schools District,2202 West Martin Luther King Jr Blvd.,Los Angeles,CA,90008-2723
848,New Horizons Charter Academy (Independent Charter Schools District),Independent Charter Schools District,5955 Lankershim Blvd.,North Hollywood,CA,91601-1006
849,New Los Angeles Charter (Independent Charter Schools District),Independent Charter Schools District,1919 South Burnside Ave.,Los Angeles,CA,90016-1114
850,New Los Angeles Charter Elementary (Independent Charter Schools District),Independent Charter Schools District,5421 Obama Rd.,Los Angeles,CA,90016-5122
851,New Millennium Secondary (Independent Charter Schools District),Independent Charter Schools District,1301 West 182nd St.,Gardena,CA,90248-3322
852,Environmental Charter Middle (Independent Charter Schools District),Independent Charter Schools District,812 West 165th Pl.,Gardena,CA,90247-5105
853,Environmental Charter Middle - Inglewood (Independent Charter Schools District),Independent Charter Schools District,3600 West Imperial Hwy.,Inglewood,CA,90303-2714
854,Anahuacalmecac International University Preparatory of North America (Independent Charter Schools District),Independent Charter Schools District,4736 Huntington Dr. South,Los Angeles,CA,90032-1942
855,Resolute Academy Charter (Independent Charter Schools District),Independent Charter Schools District,1265 East 112th St.,Los Angeles,CA,90059-1137
856,Vista Charter Middle (Independent Charter Schools District),Independent Charter Schools District,2900 West Temple St.,Los Angeles,CA,90026-4516
857,Vista Horizon Global Academy (Independent Charter Schools District),Independent Charter Schools District,980 South Hobart Blvd.,Los Angeles,CA,90006-1220
858,Vox Collegiate of Los Angeles (Independent Charter Schools District),Independent Charter Schools District,1100 West Manchester Ave.,Los Angeles,CA,90044-3430
859,Wallis Annenberg High (Independent Charter Schools District),Independent Charter Schools District,4000 South Main St.,Los Angeles,CA,90037-1022
860,Castle Elementary School (Independent Charter Schools District),Independent Charter Schools District,1435 West 120th St.,Los Angeles,CA,90047-5302
861,"CATCH Prep Charter High, Inc. (Independent Charter Schools District)",Independent Charter Schools District,4120 11th Ave.,Los Angeles,CA,90008-3712
862,Cathedral High School (Independent Charter Schools District),Independent Charter Schools District,1253 Bishops Rd.,Los Angeles,CA,90012-1453
863,Vaughn Next Century Learning Center (Independent Charter Schools District),Independent Charter Schools District,13330 Vaughn St.,San Fernando,CA,91340-2216
864,Verbum Dei High School (Independent Charter Schools District),Independent Charter Schools District,11100 South Central Ave.,Los Angeles,CA,90059-1120
865,Futures Academy - Woodland Hills (Independent Charter Schools District),Independent Charter Schools District,"21800 Oxnard St., Ste. 220",Woodland Hills,CA,91367-3643
866,Gabriella Charter (Independent Charter Schools District),Independent Charter Schools District,1435 Logan St.,Los Angeles,CA,90026-3307
867,Gabriella Charter 2 (Independent Charter Schools District),Independent Charter Schools District,3736 Trinity St.,Los Angeles,CA,90011-2635
868,Gardena Christian Academy (Independent Charter Schools District),Independent Charter Schools District,16311 South Western Ave.,Gardena,CA,90247-4633
869,Village Charter Academy (Independent Charter Schools District),Independent Charter Schools District,7357 Jordan Ave.,Canoga Park,CA,91303-1238
870,Geffen Academy at UCLA (Independent Charter Schools District),Independent Charter Schools District,11000 Kinross Ave.,Los Angeles,CA,90095-2000
871,Learning Works (Pasadena Unified),Independent Charter Schools District,90 North Daisy Ave.,Pasadena,CA,91107-3704
872,Holy Trinity Elementary School (Independent Charter Schools District),Independent Charter Schools District,3716 Boyce Ave.,Los Angeles,CA,90039-1810
873,Crespi Carmelite High School (Independent Charter Schools District),Independent Charter Schools District,5031 Alonzo Ave.,Encino,CA,91316-3611
874,Crete Academy (Independent Charter Schools District),Independent Charter Schools District,6103 Crenshaw Blvd.,Los Angeles,CA,90043-1853
875,St. Helen (Independent Charter Schools District),Independent Charter Schools District,9329 Madison Ave.,South Gate,CA,90280-4225
876,Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics (Independent Charter Schools District),Independent Charter Schools District,8926 Sunland Blvd.,Sun Valley,CA,91352-2843
877,High Tech LA Middle (Independent Charter Schools District),Independent Charter Schools District,"5435 Vesper Ave., Rm. B50",Van Nuys,CA,91411-3738
878,APEX Academy / Matrix for Success Academy (Independent Charter Schools District),Independent Charter Schools District,"1309 North Wilton Pl., 3rd Fl.",Los Angeles,CA,90028-8526
879,Ararat Charter (Independent Charter Schools District),Independent Charter Schools District,6555 Sylmar Ave.,Van Nuys,CA,91401-6202
880,ARCANE ACADEMY (Independent Charter Schools District),Independent Charter Schools District,3323 Larga Ave,Los Angeles,CA,90039-2132
881,Arts In Action Community Charter (Independent Charter Schools District),Independent Charter Schools District,5115 Via Corona St.,Los Angeles,CA,90022-2006
882,Arts in Action Community Middle (Independent Charter Schools District),Independent Charter Schools District,745 South Kern Ave.,Los Angeles,CA,90022-2672
883,Pacoima Charter Elementary (Independent Charter Schools District),Independent Charter Schools District,11016 Norris Ave.,Pacoima,CA,91331-2569
884,Palisades Charter High (Independent Charter Schools District),Independent Charter Schools District,15777 Bowdoin St.,Pacific Palisades,CA,90272-3523
885,School of the Arts and Enterprise (SAE) - Pomona (Independent Charter Schools District),Independent Charter Schools District,295 North Garey Ave.,Pomona,CA,91767-5429
886,Bais Chaya Mushka School of Los Angeles (Independent Charter Schools District),Independent Charter Schools District,9051 W. Pico Blvd.,Los Angeles,CA,90035-1324
887,New West Charter (Independent Charter Schools District),Independent Charter Schools District,1905 Armacost Ave.,Los Angeles,CA,90025-5210
888,El Camino Real Charter High (Independent Charter Schools District),Independent Charter Schools District,5440 Valley Cir. Blvd.,Woodland Hills,CA,91367-5949
889,El Rio Community (Independent Charter Schools District),Independent Charter Schools District,2635 Pasadena Ave.,Los Angeles,CA,90031-2323
890,Montague Charter Academy (Independent Charter Schools District),Independent Charter Schools District,13000 Montague St.,Pacoima,CA,91331-4146
891,Port of Los Angeles High (Independent Charter Schools District),Independent Charter Schools District,250 West Fifth St.,San Pedro,CA,90731-3304
892,California School of the Arts - San Gabriel Valley (Independent Charter Schools District),Independent Charter Schools District,1401 Highland Ave.,Duarte,CA,91010-2523
893,Center for Advanced Learning (Independent Charter Schools District),Independent Charter Schools District,4016 South Central Ave.,Los Angeles,CA,90011-2708
894,CHAMPS Charter High School of the Arts (Independent Charter Schools District),Independent Charter Schools District,6842 Van Nuys Blvd.,Van Nuys,CA,91405-3984
895,Girls Athletic Leadership School Los Angeles (Independent Charter Schools District),Independent Charter Schools District,8015 Van Nuys Blvd.,Panorama City,CA,91402-6009
896,High Tech LA (Independent Charter Schools District),Independent Charter Schools District,17111 Victory Blvd.,Lake Balboa,CA,91406-5455
897,San Miguel Catholic School (Independent Charter Schools District),Independent Charter Schools District,2270 East 108th St.,Los Angeles,CA,90059-1346
898,Santa Monica Boulevard Community Charter (Independent Charter Schools District),Independent Charter Schools District,1022 North Van Ness Ave.,Los Angeles,CA,90038-3252
899,The Northridge Community School (Independent Charter Schools District),Independent Charter Schools District,11263 Balboa Blvd.,Granada Hills,CA,91344-4206
900,A Bright Beginning (Inglewood Unified),Inglewood Unified,2440 West Manchester,Inglewood,CA,90305-2518
901,A Bright Beginning CDC (Inglewood Unified),Inglewood Unified,712 E Manchester Blvd,Inglewood,CA,90301-1912
902,Bennett/Kew TK-7 Elementary (Inglewood Unified),Inglewood Unified,11710 South Cherry Ave.,Inglewood,CA,90303-2933
903,Beulah Payne P-8 STEAM Academy (Inglewood Unified),Inglewood Unified,215 West 94th St.,Inglewood,CA,90301-3701
904,Centinela Elementary TK-7 (Inglewood Unified),Inglewood Unified,1123 Marlborough Ave.,Inglewood,CA,90302-1697
905,City Honors International Preparatory High (Inglewood Unified),Inglewood Unified,120 West Regent St.,Inglewood,CA,90301-1225
906,Crozier (George W.) Middle (Inglewood Unified),Inglewood Unified,1210 West Regent St.,Inglewood,CA,90301-1705
907,Umoja Learning Institute (Inglewood Unified),Inglewood Unified,8612 5Th Ave Ste. #6,Inglewood,CA,90305-2440
908,Warren Lane TK-6 Elementary (Inglewood Unified),Inglewood Unified,2602 West 79th St.,Inglewood,CA,90305-1032
909,Wilder's Preparatory Academy Charter (Inglewood Unified),Inglewood Unified,830 North La Brea Ave.,Inglewood,CA,90302-2206
910,Wilder's Preparatory Academy Charter Middle (Inglewood Unified),Inglewood Unified,830 North La Brea Ave.,Inglewood,CA,90302-2206
911,Woodworth-Monroe TK-8 Academy (Inglewood Unified),Inglewood Unified,10711 10th Ave.,Inglewood,CA,90303-2015
912,Worthington Elementary (Inglewood Unified),Inglewood Unified,11101 South Yukon Ave.,Inglewood,CA,90303-2728
913,Frank D. Parent TK-8 (Inglewood Unified),Inglewood Unified,5354 West 64th St.,Inglewood,CA,90302-1042
914,From the Heart Preschool & Enrichment Center (Inglewood Unified),Inglewood Unified,1061 East Hyde Park Blvd.,Inglewood,CA,90302-1801
915,Grace Hopper STEM Academy (Inglewood Unified),Inglewood Unified,601 Grace Ave.,Inglewood,CA,90301-1306
916,Highland Elementary (Inglewood Unified),Inglewood Unified,430 Venice Way,Inglewood,CA,90302-2099
917,Hudnall (Claude) Elementary (Inglewood Unified),Inglewood Unified,331 West Olive St.,Inglewood,CA,90301-2213
918,"Inglewood Career Technical Education, Adult Education, Alternative Education (Inglewood Unified)",Inglewood Unified,106 East Manchester Ave.,Inglewood,CA,90301
919,Inglewood Continuation High (Inglewood Unified),Inglewood Unified,441 West Hillcrest Blvd.,Inglewood,CA,90301-2521
920,Inglewood High (Inglewood Unified),Inglewood Unified,231 South Grevillea Ave.,Inglewood,CA,90301-2323
921,K. Anthony School (Inglewood Unified),Inglewood Unified,8420 South Crenshaw Blvd,Inglewood,CA,90305-1914
922,Kelso (William H.) Elementary (Inglewood Unified),Inglewood Unified,809 East Kelso St.,Inglewood,CA,90301-2809
923,Kids' Castle Child Care Center (Inglewood Unified),Inglewood Unified,745 N. La Brea Ave.,Inglewood,CA,90302-2203
924,La Tijera K-8 Charter School Academy of Excellence (Inglewood Unified),Inglewood Unified,1415 North La Tijera Blvd.,Inglewood,CA,90302-1022
925,Morningside High (Inglewood Unified),Inglewood Unified,10500 South Yukon Ave.,Inglewood,CA,90303-2003
926,Oak Street Elementary (Inglewood Unified),Inglewood Unified,633 South Oak St.,Inglewood,CA,90301-2547
927,Relentless Or Nothing (Inglewood Unified),Inglewood Unified,340 E. Kelso St.,Inglewood,CA,90301-2703
928,"Slauson Learning Center, No. 2 (Inglewood Unified)",Inglewood Unified,260 North Locust St.,Inglewood,CA,90301-1204
929,St. John Chrysostom (Inglewood Unified),Inglewood Unified,530 East Florence Ave.,Inglewood,CA,90301-1402
930,St. Mary's Academy (Inglewood Unified),Inglewood Unified,701 Grace Ave.,Inglewood,CA,90301-1359
931,ISANA Cardinal Academy (ISANA District),ISANA District,7330 Bakman Ave.,Sun Valley,CA,91352-4914
932,ISANA Himalia Academy (ISANA District),ISANA District,4607 South Central Ave.,Los Angeles,CA,90011-5456
933,ISANA Nascent Academy (ISANA District),ISANA District,3417 West Jefferson Blvd.,Los Angeles,CA,90018-3235
934,ISANA Octavia Academy (ISANA District),ISANA District,3010 Estara Ave.,Los Angeles,CA,90065-2205
935,ISANA Palmati Academy (ISANA District),ISANA District,6501 Laurel Canyon Blvd.,North Hollywood,CA,91606-1520
936,Pearblossom Elementary (Keppel Union Elementary),Keppel Union Elementary,12828 East Avenue W,Pearblossom,CA,93553-0186
937,Sage Oak Charter School- Keppel (Keppel Union Elementary),Keppel Union Elementary,1473 Ford St.,Redlands,CA,92373-3913
938,Alpine Elementary (Keppel Union Elementary),Keppel Union Elementary,8244 East Pearblossom Hwy.,Littlerock,CA,93543-3042
939,Antelope Elementary (Keppel Union Elementary),Keppel Union Elementary,37237 North 100th St. East,Littlerock,CA,93543-1501
940,Daisy Gibson Elementary (Keppel Union Elementary),Keppel Union Elementary,9650 East Palmdale Blvd.,Palmdale,CA,93591-2235
941,Desert View Community Day (Keppel Union Elementary),Keppel Union Elementary,9330 East Avenue U,Littlerock,CA,93543-3107
942,Keppel Academy (Keppel Union Elementary),Keppel Union Elementary,9330 East Avenue U,Littlerock,CA,93543-3107
943,Lake Los Angeles Elementary (Keppel Union Elementary),Keppel Union Elementary,16310 East Avenue Q,Palmdale,CA,93591-3603
944,Endeavor College Preparatory Charter (KIPP Charter School District),KIPP Charter School District,1263 South Soto St.,Los Angeles,CA,90023-2615
945,KIPP Academy of Innovation (KIPP Charter School District),KIPP Charter School District,4240 East Olympic Blvd.,Los Angeles,CA,90023-3337
946,KIPP Academy of Opportunity (KIPP Charter School District),KIPP Charter School District,8500 South Figueroa St.,Los Angeles,CA,90003-2752
947,KIPP Comienza Community Prep (KIPP Charter School District),KIPP Charter School District,7300 Roseberry Ave.,Huntington Park,CA,90255-5625
948,KIPP Corazon Academy (KIPP Charter School District),KIPP Charter School District,9325 Long Beach Blvd.,South Gate,CA,90280-4142
949,KIPP Empower Academy (KIPP Charter School District),KIPP Charter School District,8466 South Figueroa St.,Los Angeles,CA,90003-2729
950,KIPP Ignite Academy (KIPP Charter School District),KIPP Charter School District,9110 South Central Ave.,Los Angeles,CA,90002-1743
951,KIPP Iluminar Academy (KIPP Charter School District),KIPP Charter School District,4800 East Cesar Chavez Ave.,Los Angeles,CA,90022-1307
952,KIPP Los Angeles College Preparatory (KIPP Charter School District),KIPP Charter School District,2810 Whittier Blvd.,Los Angeles,CA,90023-1527
953,KIPP Philosophers Academy (KIPP Charter School District),KIPP Charter School District,8300 South Central Ave.,Los Angeles,CA,90001-3707
954,KIPP Promesa Prep (KIPP Charter School District),KIPP Charter School District,207 South Dacotah St.,Los Angeles,CA,90063-3023
955,KIPP Pueblo Unido (KIPP Charter School District),KIPP Charter School District,3759 East 57th St.,Maywood,CA,90270-2614
956,KIPP Raices Academy (KIPP Charter School District),KIPP Charter School District,668 Atlantic Blvd.,Los Angeles,CA,90022-1118
957,KIPP Scholar Academy (KIPP Charter School District),KIPP Charter School District,1729 West Martin Luther King Jr. Blvd.,Los Angeles,CA,90062-1503
958,KIPP Sol Academy (KIPP Charter School District),KIPP Charter School District,4800 East Cesar Chavez Ave.,Los Angeles,CA,90022-1307
959,KIPP Vida Preparatory Academy (KIPP Charter School District),KIPP Charter School District,4410 South Budlong Ave.,Los Angeles,CA,90037-2306
960,KIPP Charter School (KIPP Charter School District),KIPP Charter School District,,,,
961,Crestview Preparatory School (La Canada Unified),La Canada Unified,140 Foothill Blvd.,La Canada,CA,91011-3727
962,Flintridge Montessori School (La Canada Unified),La Canada Unified,1739 Foothill Blvd.,La Canada-Flintridge,CA,91011-2950
963,Flintridge Preparatory School (La Canada Unified),La Canada Unified,4543 Crown Ave.,La Canada Flintridge,CA,91011-3637
964,Flintridge Sacred Heart Academy (La Canada Unified),La Canada Unified,440 St. Katherine Dr.,La Canada,CA,91011-4113
965,Foothill Progressive Montessori Schools (La Canada Unified),La Canada Unified,4526 Indianola Way,La Canada,CA,91011-3350
966,Hillside School and Learning Center (La Canada Unified),La Canada Unified,4331 Oak Grove Dr.,La Canada,CA,91011-3707
967,Hogg's Hollow School (La Canada Unified),La Canada Unified,4490 Cornishon Ave.,La Ca?ada,CA,91011
968,La Canada Elementary (La Canada Unified),La Canada Unified,4540 Encinas Dr.,La Canada,CA,91011-2217
969,La Canada High (La Canada Unified),La Canada Unified,4463 Oak Grove Dr.,La Canada,CA,91011-3738
970,"Learning Castle, Inc. (aka La Canada Preparatory) (La Canada Unified)",La Canada Unified,4490 Cornishon Ave.,La Ca?ada,CA,91011
971,Palm Crest Elementary (La Canada Unified),La Canada Unified,5025 Palm Dr.,La Canada,CA,91011-1518
972,Paradise Canyon Elementary (La Canada Unified),La Canada Unified,471 Knight Way,La Canada,CA,91011-2725
973,St. Bede the Venerable Elementary (La Canada Unified),La Canada Unified,4524 Crown Ave.,La Canada,CA,91011-3636
974,St. Francis High School (La Canada Unified),La Canada Unified,200 Foothill Blvd.,La Canada,CA,91011-3700
975,Russell Westbrook Why Not? High (LA Promise Fund),LA Promise Fund,1755 West 52nd St.,Los Angeles,CA,90062-2347
976,Russell Westbrook Why Not? Middle (LA Promise Fund),LA Promise Fund,1700 West 46th St.,Los Angeles,CA,90062-2347
977,Pierce College (Pierce) (LACCD District),LACCD District,,,,
978,East LA College (ELAC) (LACCD District),LACCD District,,,,
979,LA City College (LACC) (LACCD District),LACCD District,,,,
980,LA Mission College (Mission) (LACCD District),LACCD District,,,,
981,West LA College (WLAC) (LACCD District),LACCD District,,,,
982,LA Valley College (Valley) (LACCD District),LACCD District,,,,
983,LA Harbor College (Harbor) (LACCD District),LACCD District,,,,
984,LA Trade Tech College (LATTC) (LACCD District),LACCD District,,,,
985,Los Angeles Southwest College (SWC) (LACCD District),LACCD District,,,,
986,Amargosa Creek Middle (Lancaster Elementary),Lancaster Elementary,"44333 27th St., West",Lancaster,CA,93536-6094
987,Antelope Valley Adventist School (Lancaster Elementary),Lancaster Elementary,45002 Fern Ave.,Lancaster,CA,93534-2486
988,Bethel Christian (Lancaster Elementary),Lancaster Elementary,3100 West Ave. K,Lancaster,CA,93536-5403
989,Calvary Chapel Christian School (Lancaster Elementary),Lancaster Elementary,1833 West Ave. J,Lancaster,CA,93534-2705
990,Desert Christian Schools (Lancaster Elementary),Lancaster Elementary,44662 15th St. West,Lancaster,CA,93534-2806
991,Desert View Elementary (Lancaster Elementary),Lancaster Elementary,1555 West Avenue H-10,Lancaster,CA,93534-1371
992,Discovery (Lancaster Elementary),Lancaster Elementary,44910 17th St. East,Lancaster,CA,93535-2744
993,Early Childhood Education (Lancaster Elementary),Lancaster Elementary,44327 Fig Ave.,Lancaster,CA,93534-3427
994,El Dorado Elementary (Lancaster Elementary),Lancaster Elementary,361 East Pondera,Lancaster,CA,93535-3012
995,Endeavour Middle (Lancaster Elementary),Lancaster Elementary,"43755 45th St., West",Lancaster,CA,93536-6885
996,Sunnydale Elementary (Lancaster Elementary),Lancaster Elementary,1233 West Avenue J-8,Lancaster,CA,93534-4770
997,The Best Start Preparatory Academy (Lancaster Elementary),Lancaster Elementary,922 1/2 Sanborn Ave.,Los Angeles,CA,90027-3018
998,The Leadership Academy (Lancaster Elementary),Lancaster Elementary,44310 Hardwood Ave.,Lancaster,CA,93534-4332
999,The Leadership Academy (Lancaster Elementary),Lancaster Elementary,44310 Hardwood Ave.,Lancaster,CA,93534-4332
1000,West Wind Elementary (Lancaster Elementary),Lancaster Elementary,"44044 36th St., West",Lancaster,CA,93536-6205
1001,Fulton and Alsbury Academy of Arts and Engineering (Lancaster Elementary),Lancaster Elementary,831 East Ave. K-2,Lancaster,CA,93535-4788
1002,Grace Lutheran Elementary (Lancaster Elementary),Lancaster Elementary,856 West Newgrove St.,Lancaster,CA,93534-3010
1003,iLEAD Lancaster Charter (Lancaster Elementary),Lancaster Elementary,254 East Avenue K-4,Lancaster,CA,93535-4500
1004,Jack Northrop Elementary (Lancaster Elementary),Lancaster Elementary,835 East Avenue K-4,Lancaster,CA,93535-4735
1005,John and Jacquelyn Miller Elementary (Lancaster Elementary),Lancaster Elementary,43420 22nd St. West,Lancaster,CA,93536-5244
1006,Joshua Elementary (Lancaster Elementary),Lancaster Elementary,"43926 North Second St., East",Lancaster,CA,93535-4010
1007,Lancaster Alternative and Virtual Academies (Lancaster Elementary),Lancaster Elementary,44034 13th St. West,Lancaster,CA,93534
1008,Life Source International Charter (Lancaster Elementary),Lancaster Elementary,44339 Beech Ave.,Lancaster,CA,93534-4303
1009,Lincoln Elementary (Lancaster Elementary),Lancaster Elementary,"44021 15th St., East",Lancaster,CA,93535-3549
1010,Linda Verde Elementary (Lancaster Elementary),Lancaster Elementary,"44924 North Fifth St., East",Lancaster,CA,93535-2603
1011,Mariposa Elementary (Lancaster Elementary),Lancaster Elementary,737 West Avenue H-6,Lancaster,CA,93534-1517
1012,Monte Vista Elementary (Lancaster Elementary),Lancaster Elementary,1235 West Kettering St.,Lancaster,CA,93534-2226
1013,Nancy Cory Elementary (Lancaster Elementary),Lancaster Elementary,3540 West Ave. K-4,Lancaster,CA,93536-6643
1014,New Vista Middle (Lancaster Elementary),Lancaster Elementary,753 East Avenue K-2,Lancaster,CA,93535-4797
1015,Piute Middle (Lancaster Elementary),Lancaster Elementary,425 East Avenue H-11,Lancaster,CA,93535-1800
1016,Sacred Heart Elementary (Lancaster Elementary),Lancaster Elementary,625 West Kettering St.,Lancaster,CA,93534-2414
1017,"Seton, Inc. (Lancaster Elementary)",Lancaster Elementary,44751 North Ave.,Lancaster,CA,93534
1018,Sierra Elementary (Lancaster Elementary),Lancaster Elementary,747 West Avenue J-12,Lancaster,CA,93534-4933
1019,Agoura High (Las Virgenes Unified),Las Virgenes Unified,28545 West Driver Ave.,Agoura,CA,91301-3335
1020,Alice C. Stelle Middle (Las Virgenes Unified),Las Virgenes Unified,22450 Mulholland Hwy.,Calabasas,CA,91302-5180
1021,Arbor Academy (Las Virgenes Unified),Las Virgenes Unified,26245 Hatmor Dr.,Calabasas,CA,91302-1023
1022,Arthur E. Wright Middle (Las Virgenes Unified),Las Virgenes Unified,4029 North Las Virgenes Rd.,Calabasas,CA,91302-1927
1023,Bay Laurel Elementary (Las Virgenes Unified),Las Virgenes Unified,24740 Paseo Primario,Calabasas,CA,91302-3071
1024,Born Learners School (Las Virgenes Unified),Las Virgenes Unified,28348 Agoura Rd.,Agoura Hills,CA,91301-2406
1025,Buttercup Pre-School (Las Virgenes Unified),Las Virgenes Unified,6098 Reyes Adobe Rd.,Agoura Hills,CA,91301-1423
1026,Calabasas High (Las Virgenes Unified),Las Virgenes Unified,22855 West Mulholland Hwy.,Calabasas,CA,91302-2047
1027,Chaparral Elementary (Las Virgenes Unified),Las Virgenes Unified,22601 Liberty Bell Rd.,Calabasas,CA,91302-5701
1028,FEYDEY (Las Virgenes Unified),Las Virgenes Unified,5716 Corsa Ave Ste. 110,Westlake Village,CA,91362-7354
1029,Ilan Ramon Day School (Las Virgenes Unified),Las Virgenes Unified,27400 Canwood St.,Agoura,CA,91301-2462
1030,Indian Hills Continuation High (Las Virgenes Unified),Las Virgenes Unified,28545 West Driver Ave.,Agoura,CA,91301-3335
1031,Las Virgenes Adult (Las Virgenes Unified),Las Virgenes Unified,4111 North Las Virgenes Rd.,Calabasas,CA,91302-1929
1032,Lindero Canyon Middle (Las Virgenes Unified),Las Virgenes Unified,5844 North Larboard Ln.,Agoura,CA,91301-1423
1033,Willow Elementary (Las Virgenes Unified),Las Virgenes Unified,29026 Laro Dr.,Agoura,CA,91301-1637
