Record Type,County,District,School,Status,Latitude,Longitude,Street Address,Street City,Street State,Street Zip
School,Alameda,Alameda County Office of Education,Alameda County Community,Active,37.658212,-122.097138,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Active,37.712878,-122.111731,2500 Fairmont Ave.,San Leandro,CA,94578-1005
School,Alameda,Alameda County Office of Education,Alameda County Opportunity,Closed,37.658212,-122.097138,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Alameda County Special Education,Closed,,,685 A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Alameda County Special Education,Active,37.658212,-122.097138,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Alternatives in Action,Active,37.764464,-122.195409,6221 East 17th St.,Oakland,CA,94621-4107
School,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,Closed,37.868991,-122.278442,2125 Jefferson Ave.,Berkeley,CA,94703-1414
School,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,Active,37.758631,-122.196044,1034 66th Ave.,Oakland,CA,94621-3536
School,Alameda,Alameda County Office of Education,Berkeley Trade & Tech. College,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Buena Vista School (Girls),Closed,,,2200 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Burke (William P.) Special Center,Merged,,,612 West A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Canyon Valley Adult School,Closed,,,,,,
School,Alameda,Alameda County Office of Education,CCYR,Closed,Information Redacted,Information Redacted,Information Redacted,Oakland,CA,94606
School,Alameda,Alameda County Office of Education,Chabot Ranch,Closed,,,2500 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Community School for Creative Education,Active,37.784648,-122.238637,2111 International Blvd.,Oakland,CA,94606-4903
School,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,Active,37.603623,-122.025305,703 C St.,Union City,CA,94587-2195
School,Alameda,Alameda County Office of Education,Cox Academy,Active,37.746513,-122.161825,9860 Sunnyside St.,Oakland,CA,94603-2750
School,Alameda,Alameda County Office of Education,East County Dch,Closed,,,7997 Vomac Rd.,Dublin,CA,94566
School,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,Active,37.80452,-122.268155,1515 Webster St.,Oakland,CA,94612-3355
School,Alameda,Alameda County Office of Education,Epic Charter,Active,37.777049,-122.229602,1045 Derby Ave.,Oakland,CA,94601-2212
School,Alameda,Alameda County Office of Education,FAME Public Charter,Closed,37.521436,-121.993919,"39899 Balentine Dr., Ste. 335",Newark,CA,94560-5359
School,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Active,37.648124,-122.082394,166 West Harder Rd.,Hayward,CA,94544-2742
School,Alameda,Alameda County Office of Education,Juvenile Court Schools,Merged,,,2400 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Koster/Whiteford Special Center,Merged,,,35725 Cedar Ave.,Newark,CA,94560
School,Alameda,Alameda County Office of Education,La Fleche (Rock) Special Center,Merged,,,6925 Chabot Rd.,Oakland,CA,94618
School,Alameda,Alameda County Office of Education,Las Vistas School,Closed,,,2200 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Lazear Charter Academy,Active,37.776239,-122.232073,824 29th Ave.,Oakland,CA,94601-2205
School,Alameda,Alameda County Office of Education,Motta (Ronald) Special Center,Merged,,,40950 Chapel Way,Fremont,CA,94538
School,Alameda,Alameda County Office of Education,New Learning Grove Academy,Closed,Information Redacted,Information Redacted,Information Redacted,Dublin,CA,94568-5401
School,Alameda,Alameda County Office of Education,New Village Community Public Charter East Bay,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Oakland Unity Middle,Active,37.759123,-122.190946,1180 70th Ave.,Oakland,CA,94621-3216
School,Alameda,Alameda County Office of Education,Opportunity Academy,Active,37.65851,-122.098346,313 West Winton Ave.,Hayward,CA,94544-1136
School,Alameda,Alameda County Office of Education,Roosevelt High (Defunct),Closed,,,,,,
School,Alameda,Alameda County Office of Education,School for School-Age Mothers,Merged,,,8151 Village Pkwy.,Dublin,CA,94568
School,Alameda,Alameda County Office of Education,Senior Camp,Closed,,,2600 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Sequoia Deaf/Blind Program,Closed,,,685 A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Snedigar Cottage,Closed,,,2100 Fairmont Dr.,San Leandro,CA,94578
School,Alameda,Alameda County Office of Education,Soli Deo Gloria Christian School,Closed,Information Redacted,Information Redacted,Information Redacted,Oakland,CA,94619-1022
School,Alameda,Alameda County Office of Education,"Technical, Agricultural & Nat.",Closed,,,597 C St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,University High School (Defunc,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Urban Montessori Charter,Active,37.786794,-122.188174,4551 Steele St.,Oakland,CA,94619-3312
School,Alameda,Alameda County Office of Education,Washington Evening High (Defun,Closed,,,,,,
School,Alameda,Alameda County Office of Education,Whiteford (June) School,Merged,,,35725 Cedar Blvd.,Newark,CA,94560
School,Alameda,Alameda County Office of Education,Whiteford School (TMR),Closed,,,685 A St.,Hayward,CA,94541
School,Alameda,Alameda County Office of Education,Yu Ming Charter,Active,37.847375,-122.283564,1086 Alcatraz Ave.,Oakland,CA,94608-1265
School,Alameda,Alameda Unified,Advance College Academy,Active,37.759182,-122.238911,2710 Encinal Ave.,Alameda,CA,94501
School,Alameda,Alameda Unified,Alameda Adult,Active,37.76421,-122.247043,2201 Encinal Ave.,Alameda,CA,94501
School,Alameda,Alameda Unified,Alameda Christian School,Closed,Information Redacted,Information Redacted,Information Redacted,Alameda,CA,94501-1429
School,Alameda,Alameda Unified,Alameda City Unified Alternative Educ.,Closed,,,2437 Eagle Ave.,Alameda,CA,94501
School,Alameda,Alameda Unified,Alameda Community Learning Center,Active,37.779051,-122.287031,1900 Third St.,Alameda,CA,94501-1851
School,Alameda,Alameda Unified,Alameda High,Active,37.764958,-122.245935,2200 Central Ave.,Alameda,CA,94501-4406
School,Alameda,Alameda Unified,Alameda Science and Technology Institute,Active,37.780753,-122.279307,555 Ralph Appezzato Memorial Pkwy.,Alameda,CA,94501-2109
School,Alameda,Alameda Unified,Alameda Unified Special Education,Active,37.782212,-122.270085,2060 Challenger Dr.,Alameda,CA,94501-1037
School,Alameda,Alameda Unified,Amelia Earhart Elementary,Active,37.745289,-122.239284,400 Packet Landing Rd.,Alameda,CA,94502-6534
School,Alameda,Alameda Unified,Bay Farm,Active,37.738998,-122.251957,200 Aughinbaugh Way,Alameda,CA,94502-7451
School,Alameda,Alameda Unified,Central Christian School,Closed,,,Information Redacted,Alameda,CA,94501
School,Alameda,Alameda Unified,"Children's Learning Center-Elementary, Site #2",Closed,Information Redacted,Information Redacted,Information Redacted,Alameda,CA,94501
School,Alameda,Alameda Unified,Chinese American Schools - Alameda,Closed,Information Redacted,Information Redacted,Information Redacted,Alameda,CA,94502
School,Alameda,Alameda Unified,Chipman Middle,Closed,,,401 Pacific Ave.,Alameda,CA,94501-1837
School,Alameda,Alameda Unified,Coastline Christian Schools,Active,37.728118,-122.239601,1801 North Loop Rd.,Alameda,CA,94502-8006
School,Alameda,Alameda Unified,College Preparatory & Architecture Academy,Closed,,,4610 Foothill Blvd.,Oakland,CA,94601
School,Alameda,Alameda Unified,Da Vinci Center for Gifted Children,Active,37.769661,-122.249438,2050 Lincoln Ave.,Alameda,CA,94501-2713
School,Alameda,Alameda Unified,Donald D. Lum Elementary,Closed,37.761327,-122.262452,420 Grand St.,Alameda,CA,94501-5941
School,Alameda,Alameda Unified,Edison Elementary,Active,37.765083,-122.234216,2700 Buena Vista Ave.,Alameda,CA,94501-1610
School,Alameda,Alameda Unified,Encinal High,Closed,37.773616,-122.290271,210 Central Ave.,Alameda,CA,94501-3278
School,Alameda,Alameda Unified,Encinal Junior Jets,Closed,37.772622,-122.288863,210 Central Ave.,Alameda,CA,94501-3246
School,Alameda,Alameda Unified,Encinal Junior/Senior High,Active,37.772765,-122.289009,210 Central Ave.,Alameda,CA,94501-3246
School,Alameda,Alameda Unified,EnCompass Four Corners School,Active,37.769482,-122.237958,1828 Park St.,Alameda,CA,94501-1418
School,Alameda,Alameda Unified,Frank Otis Elementary,Active,37.754029,-122.237997,3010 Fillmore St.,Alameda,CA,94501-5544
School,Alameda,Alameda Unified,Franklin Elementary,Active,37.769036,-122.261602,1433 San Antonio Ave.,Alameda,CA,94501-4039
School,Alameda,Alameda Unified,George P. Miller Elementary,Closed,,,250 Singleton Ave.,Alameda,CA,94501-7238
School,Alameda,Alameda Unified,Grand Alternative,Closed,,,400 Grant St.,Alameda,CA,94501
School,Alameda,Alameda Unified,Hensley Academy,Closed,Information Redacted,Information Redacted,Information Redacted,Alameda,CA,94501-3985
School,Alameda,Alameda Unified,Island High (Continuation),Active,37.782304,-122.279355,555 Atlantic Ave,Alameda,CA,94501-2109
School,Alameda,Alameda Unified,Kingdom Builder private school,Closed,Information Redacted,Information Redacted,Information Redacted,Oakland,CA,94621-4119
School,Alameda,Alameda Unified,"LePort Schools, Emeryville",Closed,Information Redacted,Information Redacted,Information Redacted,Emeryville,CA,94608-1028
School,Alameda,Alameda Unified,Lincoln Middle,Active,37.752242,-122.232765,1250 Fernside Blvd.,Alameda,CA,94501-4808
School,Alameda,Alameda Unified,Longfellow Elementary,Closed,,,500 Pacific Ave.,Alameda,CA,94501-2125
School,Alameda,Alameda Unified,Love Elementary,Active,37.769332,-122.251069,2025 Santa Clara Ave.,Alameda,CA,94501-2720
School,Alameda,Alameda Unified,Mastick Elementary,Closed,,,1525 Bay St.,Alameda,CA,94501
School,Alameda,Alameda Unified,Maya Lin,Closed,37.772724,-122.27189,825 Taylor St.,Alameda,CA,94501-3411
School,Alameda,Alameda Unified,Maya Lin,Active,37.772663,-122.271459,825 Taylor Ave.,Alameda,CA,94501-3411
School,Alameda,Alameda Unified,McKinney Christian Academy,Closed,Information Redacted,Information Redacted,Information Redacted,Alameda,CA,94501-7151
School,Alameda,Alameda Unified,Nea Community Learning Center,Active,37.779051,-122.287031,1900 Third St.,Alameda,CA,94501-1851
School,Alameda,Alameda Unified,Peter Pan Academy,Closed,,,Information Redacted,Alameda,CA,94502
School,Alameda,Alameda Unified,Porter Elementary,Closed,,,2248 Alameda Ave.,Alameda,CA,94501
School,Alameda,Alameda Unified,Rising Star Montessori School,Active,37.75882,-122.231594,1421 High St.,Alameda,CA,94501-3102
School,Alameda,Alameda Unified,Ruby Bridges Elementary,Active,37.781834,-122.286146,351 Jack London Ave.,Alameda,CA,94501-3901
School,Alameda,Alameda Unified,Saint Joseph Notre Dame High School,Active,37.765264,-122.255019,1011 Chestnut St.,Alameda,CA,94501-4315
School,Alameda,Alameda Unified,St. Barnabas Elementary,Closed,,,Information Redacted,Alameda,CA,94501
School,Alameda,Alameda Unified,St. Joseph Elementary,Active,37.765992,-122.254979,1910 San Antonio Ave.,Alameda,CA,94501-4216
School,Alameda,Alameda Unified,St. Philip Neri Elementary,Active,37.757182,-122.23313,1335 High St.,Alameda,CA,94501-3165
School,Alameda,Alameda Unified,Sycamore Tree Academy,Closed,,,Information Redacted,Alameda,CA,94502
School,Alameda,Alameda Unified,The Academy of Alameda,Active,37.776497,-122.285826,401 Pacific Ave.,Alameda,CA,94501-1837
School,Alameda,Alameda Unified,The Academy of Alameda Elementary,Closed,37.77693,-122.285289,401 Pacific Ave.,Alameda,CA,94501-1837
School,Alameda,Alameda Unified,The Child Unique Montessori School/Montessori Elementary School of Alameda,Active,37.763791,-122.247099,2226 Encinal Ave. and 1400 6th St.,Alameda,CA,94501
School,Alameda,Alameda Unified,The Phillips Academy,Active,37.768583,-122.253292,1910 Central Ave.,Alameda,CA,94501-2623
School,Alameda,Alameda Unified,Washington Elementary,Closed,37.772348,-122.272195,825 Taylor Ave.,Alameda,CA,94501-3411
School,Alameda,Alameda Unified,Will C. Wood Middle,Active,37.763031,-122.26192,420 Grand St.,Alameda,CA,94501-5941
School,Alameda,Alameda Unified,William G. Paden Elementary,Active,37.771566,-122.284469,444 Central Ave.,Alameda,CA,94501-3615
School,Alameda,Alameda Unified,Williams Academy,Closed,,,Information Redacted,Oakland,CA,94610
School,Alameda,Alameda Unified,Woodstock Elementary,Closed,,,1900 Third St.,Alameda,CA,94501-1898
School,Alameda,Albany City Unified,Albany Adult,Closed,,,603 Key Route Blvd.,Albany,CA,94706
School,Alameda,Albany City Unified,Albany Adult,Closed,37.896209,-122.292093,603 Key Route Blvd.,Albany,CA,94706-1422
School,Alameda,Albany City Unified,Albany Children's Center,Closed,37.893133,-122.302825,720 Jackson St.,Albany,CA,94706
School,Alameda,Albany City Unified,Albany High,Active,37.896661,-122.292572,603 Key Route Blvd.,Albany,CA,94706-1422
School,Alameda,Albany City Unified,Albany Middle,Active,37.897851,-122.295309,1259 Brighton Ave.,Albany,CA,94706-1336
School,Alameda,Albany City Unified,Albany Primary,Closed,,,607 Key Route Blvd.,Albany,CA,94706
School,Alameda,Albany City Unified,BRIGHT STAR MONTESSORI,Closed,,,Information Redacted,ALBANY,CA,94706
School,Alameda,Albany City Unified,Cornell Elementary,Active,37.889826,-122.295187,920 Talbot Ave.,Albany,CA,94706-2020
School,Alameda,Albany City Unified,MacGregor High (Continuation),Active,37.89642,-122.292117,603 Key Route Blvd.,Albany,CA,94706-1422
School,Alameda,Albany City Unified,MacGregor Primary,Closed,,,601 San Gabriel Ave.,Albany,CA,94706
School,Alameda,Albany City Unified,Marin Elementary,Active,37.888559,-122.288171,1001 Santa Fe Ave.,Albany,CA,94706-2341
School,Alameda,Albany City Unified,Ocean View Elementary,Active,37.887539,-122.30092,1000 Jackson St.,Albany,CA,94706-1904
School,Alameda,Albany City Unified,Semillas del Sol,Closed,Information Redacted,Information Redacted,Information Redacted,Albany,CA,94706-1421
School,Alameda,Albany City Unified,Tilden Preparatory School,Active,37.890701,-122.295003,1231 Solano Ave.,Albany,CA,94706-1734
School,Alameda,Albany City Unified,Vista-MacGregor Primary,Closed,,,,,,
School,Alameda,Amador Valley Joint Union High,Amador Valley Adult Education,Merged,,,4750 First St.,Pleasanton,CA,94566-7399
School,Alameda,Amador Valley Joint Union High,Amador Valley Adult Education,Closed,,,8151 Village Pkwy.,Dublin,CA,94566
School,Alameda,Amador Valley Joint Union High,Amador Valley High,Merged,,,1155 Santa Rita Rd.,Pleasanton,CA,94566-6176
School,Alameda,Amador Valley Joint Union High,Dublin High,Merged,,,8151 Village Pkwy.,Dublin,CA,94568
School,Alameda,Amador Valley Joint Union High,Foothill High,Merged,,,4375 Foothill Rd.,Pleasanton,CA,94566-9799
School,Alameda,Amador Valley Joint Union High,Pleasanton Unified Alternative,Merged,,,Ten Neal St.,Pleasanton,CA,94566
School,Alameda,Amador Valley Joint Union High,Valley High,Merged,,,7001 Brighton Dr.,Dublin,CA,94568-3075
School,Alameda,Amador Valley Joint Union High,Village High,Merged,,,4750 First St.,Pleasanton,CA,94566-8399
School,Alameda,Berkeley Unified,American International Montessori School,Active,37.847405,-122.270972,3339 Martin Luther King Jr. Way,Berkeley,CA,94703-2720
School,Alameda,Berkeley Unified,Archway School,Closed,Information Redacted,Information Redacted,Information Redacted,Berkeley,CA,94709-2136
School,Alameda,Berkeley Unified,Arrowsmith Academy,Closed,,,Information Redacted,Berkeley,CA,94704-4704
School,Alameda,Berkeley Unified,Bayhill High,Active,37.875998,-122.271731,1940 Virginia St.,Berkeley,CA,94709-2136
School,Alameda,Berkeley Unified,Bayhill High - Bay Area Educational Institute,Closed,Information Redacted,Information Redacted,Information Redacted,Berkeley,CA,94709-2136
School,Alameda,Berkeley Unified,Berkeley Adult,Active,37.873179,-122.291588,1701 San Pablo Ave.,Berkeley,CA,94702-1709
School,Alameda,Berkeley Unified,Berkeley Alternative Jr. High,Closed,,,2425 Stuart St.,Berkeley,CA,94705
School,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Active,37.876919,-122.271231,1645 Milvia St.,Berkeley,CA,94709-2073
School,Alameda,Berkeley Unified,Berkeley High,Active,37.868913,-122.2712,1980 Allston Way,Berkeley,CA,94704-1463
School,Alameda,Berkeley Unified,Berkeley Independent Study K-8,Pending,37.859409,-122.270573,2701 Martin Luther King Jr Way,Berkeley,CA,94703-2165
School,Alameda,Berkeley Unified,Berkeley Rose Waldorf School,Active,37.864795,-122.256128,2515 Hillegass Ave.,Berkeley,CA,94709-2913
School,Alameda,Berkeley Unified,Berkeley Special Education Preschool,Active,37.869954,-122.272834,2134 Martin Luther King Jr. Way,Berkeley,CA,94704-1180
School,Alameda,Berkeley Unified,Berkeley Technology Academy,Active,37.85974,-122.27171,2701 Martin Luther King Jr. Way,Berkeley,CA,94704-2165
School,Alameda,Berkeley Unified,Berkwood Hedge School,Active,37.86691,-122.273777,1809 Bancroft Way,Berkeley,CA,94703-1711
School,Alameda,Berkeley Unified,Black Pine Circle,Active,37.867227,-122.296091,2027 7Th St.,Berkeley,CA,94710-2091
School,Alameda,Berkeley Unified,Center for Early Intervention on Deafness (CEID),Active,37.856145,-122.288818,1035 Grayson St.,Berkeley,CA,94710-2642
School,Alameda,Berkeley Unified,Cragmont Elementary,Active,37.892673,-122.263555,830 Regal Rd.,Berkeley,CA,94708-1308
School,Alameda,Berkeley Unified,East Bay School for Boys,Active,37.867295,-122.261659,2340 Durant Ave.,Berkeley,CA,94704-1607
School,Alameda,Berkeley Unified,East Bay School For Girls,Closed,,,Information Redacted,Berkeley,CA,94705
School,Alameda,Berkeley Unified,EAST BAY SCHOOL OF THE ARTS MI,Closed,,,Information Redacted,Oakland,CA,94618
School,Alameda,Berkeley Unified,Ecole Bilingue De Berkeley,Active,37.854304,-122.289329,1009 Heinz Ave.,BERKELEY,CA,94708-2718
School,Alameda,Berkeley Unified,Emerson Elementary,Active,37.86149,-122.251112,2800 Forest Ave.,Berkeley,CA,94705-1309
School,Alameda,Berkeley Unified,Franklin Elementary,Closed,,,1150 Virginia St.,Berkeley,CA,94702-1323
School,Alameda,Berkeley Unified,Franklin Parent Nursery,Merged,,,1460 Eighth St.,Berkeley,CA,94703
School,Alameda,Berkeley Unified,Fusion Academy Berkeley,Active,37.868315,-122.298128,"811 University Ave, Ste. 100",Berkeley,CA,94710-2076
School,Alameda,Berkeley Unified,Grizzly Peak Primary,Closed,,,40 Whitaker Ave.,Berkeley,CA,94708
School,Alameda,Berkeley Unified,HEARTS LEAP,Closed,,,Information Redacted,BERKELEY,CA,94704
School,Alameda,Berkeley Unified,Hillside Primary,Closed,,,1581 Leroy Ave.,Berkeley,CA,94708
School,Alameda,Berkeley Unified,Home Teaching,Closed,,,1809 Fairview,Berkeley,CA,94703
School,Alameda,Berkeley Unified,John Muir Elementary,Active,37.857194,-122.245936,2955 Claremont Ave.,Berkeley,CA,94705-2449
School,Alameda,Berkeley Unified,Kilimanjaro,Closed,,,830 Regal Rd.,Berkeley,CA,94708
School,Alameda,Berkeley Unified,King Educational Center,Closed,,,1810 Hopkins St.,Berkeley,CA,94707
School,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Active,37.858687,-122.280007,1500 Derby St.,Berkeley,CA,94703-1817
School,Alameda,Berkeley Unified,Longfellow Parent Nursery,Merged,,,1522 Ward St.,Berkeley,CA,94705
School,Alameda,Berkeley Unified,Malcolm X Elementary,Active,37.8522,-122.273734,1731 Prince St.,Berkeley,CA,94703-2464
School,Alameda,Berkeley Unified,Martin Luther King Middle,Active,37.881113,-122.277009,1781 Rose St.,Berkeley,CA,94703-1048
School,Alameda,Berkeley Unified,Maybeck High School,Active,37.862017,-122.25337,2727 College Ave.,Berkeley,CA,94705-1247
School,Alameda,Berkeley Unified,Montessori Family School,Closed,,,Information Redacted,Berkeley,CA,94709
School,Alameda,Berkeley Unified,Muir Model School,Closed,,,2955 Claremont Ave.,Berkeley,CA,94705
School,Alameda,Berkeley Unified,New Age Academy,Closed,,,Information Redacted,Berkeley,CA,94703
School,Alameda,Berkeley Unified,OUR,Closed,,,Information Redacted,BERKELEY,CA,94705
School,Alameda,Berkeley Unified,Oxford Elementary at West Campus,Active,37.869063,-122.288516,1222 University Ave.,Berkeley,CA,94702-1766
School,Alameda,Berkeley Unified,Pregnant Minors Program,Closed,,,Bungalow B,Berkeley,CA,94704
School,Alameda,Berkeley Unified,Quantum Camp,Closed,Information Redacted,Information Redacted,Information Redacted,Berkeley,CA,94704-1307
School,Alameda,Berkeley Unified,REALM Charter,Closed,37.867407,-122.294895,2023 Eighth St.,Berkeley,CA,94710-2026
School,Alameda,Berkeley Unified,REALM Charter High,Closed,37.867479,-122.294925,2023 Eighth St.,Berkeley,CA,94710-2026
School,Alameda,Berkeley Unified,REALM Charter Middle,Closed,37.869147,-122.288078,1222 University Ave.,Berkeley,CA,94702-2026
School,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Active,37.865652,-122.294711,920 Allston Way,Berkeley,CA,94710-2389
School,Alameda,Berkeley Unified,Ruth Acty Elementary,Active,37.878921,-122.285216,1400 Ada St.,Berkeley,CA,94702-1217
School,Alameda,Berkeley Unified,Saint Mary's College High School,Active,37.882303,-122.283671,1294 Albina Ave.,Berkeley,CA,94706-2599
School,Alameda,Berkeley Unified,School of the Madeleine,Active,37.884809,-122.272048,1225 Milvia St.,Berkeley,CA,94709-1932
School,Alameda,Berkeley Unified,Shu Ren International School,Active,37.869099,-122.278032,2125 Jefferson Ave.,Berkeley,CA,94703-1414
School,Alameda,Berkeley Unified,ST. DAVID'S EDUCATIONAL CLINIC,Closed,,,Information Redacted,Berkeley,CA,94704
School,Alameda,Berkeley Unified,St. Joseph the Worker,Closed,,,Information Redacted,Berkeley,CA,94703
School,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Active,37.858258,-122.261704,2840 Ellsworth St.,Berkeley,CA,94705-1029
School,Alameda,Berkeley Unified,T 4 Kids School,Closed,,,Information Redacted,Berkeley,CA,94703
School,Alameda,Berkeley Unified,The Academy,Active,37.860796,-122.255027,2722 Benvenue Ave.,Berkeley,CA,94705-1202
School,Alameda,Berkeley Unified,The Berkeley School,Active,37.870112,-122.285655,1310 University Ave.,Berkeley,CA,94702-1711
School,Alameda,Berkeley Unified,The Crowden School,Active,37.878992,-122.283133,1475 Rose St.,Berkeley,CA,94702-1255
School,Alameda,Berkeley Unified,Thousand Oaks Elementary,Active,37.893082,-122.280401,840 Colusa Ave.,Berkeley,CA,94707-1858
School,Alameda,Berkeley Unified,Tilden Primary,Closed,,,499 Spruce St.,Berkeley,CA,94707
School,Alameda,Berkeley Unified,Torin's School,Closed,Information Redacted,Information Redacted,Information Redacted,Berkeley,CA,94705-1005
School,Alameda,Berkeley Unified,UC Child Study Parent Nursery,Merged,,,2425 Atherton,Berkeley,CA,94705
School,Alameda,Berkeley Unified,Via Center,Active,37.865625,-122.29729,2126 6th St.,Berkeley,CA,94710-2248
School,Alameda,Berkeley Unified,Walden Center & School,Active,37.863574,-122.273564,2446 Mckinley Ave,Berkeley,CA,94703-1928
School,Alameda,Berkeley Unified,Washington Elementary,Active,37.866959,-122.272571,2300 Martin Luther King Jr. Way,Berkeley,CA,94704-1412
School,Alameda,Berkeley Unified,"West Campus, Berkeley High",Closed,,,1222 University Ave.,Berkeley,CA,94702
School,Alameda,Berkeley Unified,West Wind Academy,Closed,Information Redacted,Information Redacted,Information Redacted,Oakland,CA,94611-5109
School,Alameda,Berkeley Unified,Whittier Primary,Closed,,,1645 Milvia St.,Berkeley,CA,94709
School,Alameda,Berkeley Unified,Willard Middle,Active,37.859666,-122.258628,2425 Stuart St.,Berkeley,CA,94705-1209
School,Alameda,Berkeley Unified,WoodsEdge Inc. DBA: Archway School,Closed,Information Redacted,Information Redacted,Information Redacted,Berkeley,CA,94709
School,Alameda,California School for the Blind (State Special Schl),California School for the Blind,Active,37.562576,-121.96563,500 Walnut Ave.,Fremont,CA,94536-4365
School,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,Active,37.558956,-121.965519,39350 Gallaudet Dr.,Fremont,CA,94538-2308
School,Alameda,Castro Valley Unified,"School of Love, Joy and Peace",Closed,Information Redacted,Information Redacted,Information Redacted,Castro Valley,CA,94552-5379
School,Alameda,Castro Valley Unified,A Shepherd's Heart Christian School,Closed,Information Redacted,Information Redacted,Information Redacted,Castro Valley,CA,94546
School,Alameda,Castro Valley Unified,A. B. Morris Intermediate,Closed,,,3310 Barlow Dr.,Castro Valley,CA,94546
School,Alameda,Castro Valley Unified,Alma Preschool,Active,37.707693,-122.070383,4400 Alma Ave.,Castro Valley,CA,94546-3104
School,Alameda,Castro Valley Unified,"Anchor Education, Inc. dba OneSchool Global - San Francisco",Active,37.705776,-122.089506,19234 Lake Chabot Rd.,Castro Valley,CA,94546-2902
School,Alameda,Castro Valley Unified,Camelot School,Closed,Information Redacted,Information Redacted,Information Redacted,Castro Valley,CA,94546-3921
School,Alameda,Castro Valley Unified,Canyon Middle,Active,37.705772,-122.054261,19600 Cull Canyon Rd.,Castro Valley,CA,94552-3715
School,Alameda,Castro Valley Unified,Castro Valley Adult and Career Education,Active,37.708006,-122.071185,4430 Alma Ave.,Castro Valley,CA,94546-4704
School,Alameda,Castro Valley Unified,Castro Valley Elementary,Active,37.698047,-122.081025,20185 San Miguel Ave.,Castro Valley,CA,94546-0146
School,Alameda,Castro Valley Unified,Castro Valley Evening High Sch,Closed,,,19400 Santa Maria Ave.,Castro Valley,CA,94546
School,Alameda,Castro Valley Unified,Castro Valley High,Active,37.705184,-122.078478,19400 Santa Maria Ave.,Castro Valley,CA,94546-3400
School,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Active,37.713501,-122.092224,18400 Clifton Way,Castro Valley,CA,94546-2020
School,Alameda,Castro Valley Unified,Chabot Elementary,Active,37.707084,-122.090125,19104 Lake Chabot Rd.,Castro Valley,CA,94546-2936
School,Alameda,Castro Valley Unified,Clifton Elementary,Closed,,,18400 Clifton Way,Castro Valley,CA,94546
School,Alameda,Castro Valley Unified,Creekside Middle,Active,37.699926,-122.061243,19722 Center St.,Castro Valley,CA,94546-4704
School,Alameda,Castro Valley Unified,Independent Elementary,Active,37.699109,-122.049754,21201 Independent School Rd.,Castro Valley,CA,94552-4826
School,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Active,37.713125,-122.031229,20001 Carson Ln.,Castro Valley,CA,94552-1001
School,Alameda,Castro Valley Unified,Marshall Elementary,Active,37.697794,-122.065737,20111 Marshall St.,Castro Valley,CA,94546-4656
School,Alameda,Castro Valley Unified,NEW LIFE ACADEMY,Closed,,,Information Redacted,CASTRO VALLEY,CA,94546
School,Alameda,Castro Valley Unified,Our Lady of Grace School,Active,37.700564,-122.083326,19920 Anita Ave.,Castro Valley,CA,94546-4106
School,Alameda,Castro Valley Unified,Palomares Elementary,Active,37.695582,-122.024806,6395 Palo Verde Rd.,Castro Valley,CA,94552-9708
School,Alameda,Castro Valley Unified,Parsons Elementary,Closed,,,17570 Almond Rd.,Castro Valley,CA,94546
School,Alameda,Castro Valley Unified,Proctor Elementary,Active,37.716742,-122.073666,17520 Redwood Rd.,Castro Valley,CA,94546-1434
School,Alameda,Castro Valley Unified,R-KID'S KDGN./EXTENDED CENTER,Closed,,,Information Redacted,Castro Valley,CA,94552
School,Alameda,Castro Valley Unified,Redwood Adult Center,Closed,,,4400 Alma Ave.,Castro Valley,CA,94546
School,Alameda,Castro Valley Unified,Redwood Alternative High,Closed,37.7128,-122.093055,18400 Clifton Way,Castro Valley,CA,94546
