id,district_x,district_y,original_name_x,original_name_y,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
809,LAUSD,LAUSD,Loma Vista Elementary DL Two-Way Im Spanish,Loma Vista Elementary,Active,Loma Vista Elementary DL Two-Way Im Spanish (LAUSD),Loma Vista Elementary DL Two-Way Im Spanish,True,3629 E 58th St,3629 East 58th St.,Maywood,Maywood, 89.41176470588236,False
810,LAUSD,LAUSD,Lomita Elementary Math/Science/Technology Magnet,Lomita Math/Science/Technology Magnet,Active,Lomita Elementary Math/Science/Technology Magnet (LAUSD),Lomita Elementary Math/Science/Technology Magnet,True,2211 247th St,2211 247th St.,Lomita,Lomita, 95.0,False
811,LAUSD,LAUSD,Loren Miller Elementary,Loren Miller Elementary,Active,Loren Miller Elementary (LAUSD),Loren Miller Elementary,True,830 W 77th St,830 West 77th St.,Los Angeles,Los Angeles, 96.62921348314607,False
812,LAUSD,LAUSD,Lorena Street Elementary,Lorena Street Elementary,Active,Lorena Street Elementary (LAUSD),Lorena Street Elementary,True,1015 S Lorena St,1015 South Lorena St.,Los Angeles,Los Angeles, 95.91836734693877,False
813,LAUSD,LAUSD,Lorena Street Elementary DL Two-Way Im Spanish,Lorena Street Elementary,Active,Lorena Street Elementary DL Two-Way Im Spanish (LAUSD),Lorena Street Elementary DL Two-Way Im Spanish,True,1015 S Lorena St,1015 South Lorena St.,Los Angeles,Los Angeles, 88.04878048780488,False
814,LAUSD,LAUSD,Loreto Street Elementary,Loreto Street Elementary,Active,Loreto Street Elementary (LAUSD),Loreto Street Elementary,True,3408 Arroyo Seco Ave,3408 Arroyo Seco Ave.,Los Angeles,Los Angeles, 100.0,False
815,LAUSD,LAUSD,Loreto Street Elementary DL Two-Way Im Spanish,Loreto Street Elementary,Active,Loreto Street Elementary DL Two-Way Im Spanish (LAUSD),Loreto Street Elementary DL Two-Way Im Spanish,True,3408 Arroyo Seco Ave,3408 Arroyo Seco Ave.,Los Angeles,Los Angeles, 95.0,False
816,LAUSD,LAUSD,Lorne Street Elementary,Lorne Street Elementary,Active,Lorne Street Elementary (LAUSD),Lorne Street Elementary,True,17440 Lorne St,17440 Lorne St.,Northridge,Northridge, 100.0,False
817,LAUSD,,Lorne Street Elementary Science/Tech/Math Magnet,,,Lorne Street Elementary Science/Tech/Math Magnet (LAUSD),Lorne Street Elementary Science/Tech/Math Magnet,True,17440 Lorne St,,Northridge,,,False
818,LAUSD,LAUSD,Los Angeles Academy Middle School,Los Angeles Academy Middle,Active,Los Angeles Academy Middle School (LAUSD),Los Angeles Academy Middle School,True,644 E 56th St,644 East 56th St.,Los Angeles,Los Angeles, 90.19607843137256,False
819,LAUSD,LAUSD,Los Angeles Academy Middle School STEAM Magnet,Los Angeles Academy Middle,Active,Los Angeles Academy Middle School STEAM Magnet (LAUSD),Los Angeles Academy Middle School STEAM Magnet,True,644 E 56th St,644 East 56th St.,Los Angeles,Los Angeles, 89.89247311827957,False
820,LAUSD,LAUSD,Los Angeles Center for Enriched Studies (LACES) Magnet,Los Angeles Center for Enriched Studies,Active,Los Angeles Center for Enriched Studies (LACES) Magnet (LAUSD),Los Angeles Center for Enriched Studies (LACES) Magnet,True,5931 W 18th St,5931 West 18th St.,Los Angeles,Los Angeles, 91.07438016528926,False
821,LAUSD,LAUSD,Los Angeles Elementary,Los Angeles Elementary,Active,Los Angeles Elementary (LAUSD),Los Angeles Elementary,True,1211 S Hobart Blvd,1211 South Hobart Blvd.,Los Angeles,Los Angeles, 95.91836734693877,False
