id,district_x,district_y,original_name_x,original_name_y,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
0,Centinela Valley,Centinela Valley Union High,Hawthorne High,Hawthorne High,Active,Hawthorne High (Centinela Valley),Hawthorne High,True,4859 West El Segundo Blvd.,4859 West El Segundo Blvd.,Hawthorne,Hawthorne, 95.0,False
1,Centinela Valley,Centinela Valley Union High,Lawndale High,Lawndale High,Active,Lawndale High (Centinela Valley),Lawndale High,True,14901 S. Inglewood Avenue,14901 South Inglewood Ave.,Lawndale,Lawndale, 86.53465346534652,False
2,Centinela Valley,Centinela Valley Union High,Leuzinger High,Leuzinger High,Active,Leuzinger High (Centinela Valley),Leuzinger High,True,4118 West Rosecrans Ave.,4118 West Rosecrans Ave.,Lawndale,Lawndale, 95.0,False
3,Centinela Valley,Centinela Valley Union High,R. K. Lloyde High,R. K. Lloyde High,Active,R. K. Lloyde High (Centinela Valley),R. K. Lloyde High,True,4951 Marine Ave.,4951 Marine Ave.,Lawndale,Lawndale, 95.0,False
4,Charter,,Alliance Alice M. Baxter College-Ready High School,,,Alliance Alice M. Baxter College-Ready High School (Charter),Alliance Alice M. Baxter College-Ready High School,True,"461 9th Street, San Pedro",,San Pedro,,,False
5,Charter,,Alliance Cindy and Bill Simon Technology High School,,,Alliance Cindy and Bill Simon Technology High School (Charter),Alliance Cindy and Bill Simon Technology High School,True,10720 Wilmington Avenue,,Los Angeles,,,False
6,Charter,LAUSD,Alliance College-Ready Middle Academy 12,Alliance College-Ready Middle Academy 12,Active,Alliance College-Ready Middle Academy 12 (Charter),Alliance College-Ready Middle Academy 12,True,131 E. 50th Street,131 East 50th St.,Los Angeles,Los Angeles, 86.82170542635659,False
7,Charter,LAUSD,Alliance College-Ready Middle Academy 4,Alliance College-Ready Middle Academy 4,Active,Alliance College-Ready Middle Academy 4 (Charter),Alliance College-Ready Middle Academy 4,True,9719 S Main Street,9719 South Main St.,Los Angeles,Los Angeles, 86.15384615384616,False
8,Charter,LAUSD,Alliance College-Ready Middle Academy 5,Alliance College-Ready Middle Academy 5,Closed,Alliance College-Ready Middle Academy 5 (Charter),Alliance College-Ready Middle Academy 5,True,211 South Avenue 20,211 South Avenue 20,Los Angeles,Los Angeles, 92.42424242424242,False
9,Charter,LAUSD,Alliance College-Ready Middle Academy 8,Alliance College-Ready Middle Academy 8,Active,Alliance College-Ready Middle Academy 8 (Charter),Alliance College-Ready Middle Academy 8,True,113 S. Rowan Avenue,113 South Rowan Ave.,Los Angeles,Los Angeles, 87.02290076335878,False
10,Charter,LAUSD,Alliance Collins Family College-Ready High School,Alliance Collins Family College-Ready High,Active,Alliance Collins Family College-Ready High School (Charter),Alliance Collins Family College-Ready High School,True,2071 Saturn Avenue,2071 Saturn Ave.,Huntington Park,Huntington Park, 87.14285714285714,False
11,Charter,,Alliance Dr. Olga Mohan High School,,,Alliance Dr. Olga Mohan High School (Charter),Alliance Dr. Olga Mohan High School,True,644 West 17th Street,,Los Angeles,,,False
12,Charter,LAUSD,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Active,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Charter),Alliance Gertz-Ressler Richard Merkin 6-12 Complex (LAUSD),True,2023 South Union Avenue,2023 South Union Ave.,Los Angeles,Los Angeles, 91.82389937106919,True
13,Charter,LAUSD,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Active,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Charter),Alliance Gertz-Ressler Richard Merkin 6-12 Complex (LAUSD),True,2023 South Union Avenue,2023 South Union Ave.,Los Angeles,Los Angeles, 91.82389937106919,True
14,Charter,,Alliance Jack H. Skirball Middle School,,,Alliance Jack H. Skirball Middle School (Charter),Alliance Jack H. Skirball Middle School,True,603 E. 115th Street,,Los Angeles,,,False
15,Charter,LAUSD,Alliance Judy Ivie Burton Technology Academy High School,Alliance Judy Ivie Burton Technology Academy High,Active,Alliance Judy Ivie Burton Technology Academy High School (Charter),Alliance Judy Ivie Burton Technology Academy High School,True,10101 S Broadway,10101 South Broadway,Los Angeles,Los Angeles, 87.89808917197452,False
16,Charter,LAUSD,Alliance Kory Hunter Middle School,Alliance Kory Hunter Middle,Active,Alliance Kory Hunter Middle School (Charter),Alliance Kory Hunter Middle School,True,5886 Compton Ave,5886 Compton Ave.,Los Angeles,Los Angeles, 88.93617021276596,False
17,Charter,,Alliance Leadership Middle Academy,,,Alliance Leadership Middle Academy (Charter),Alliance Leadership Middle Academy,True,2941 West 70th Street,,Los Angeles,,,False
18,Charter,LAUSD,Alliance Leichtman-Levine Family Foundation Environmental Science High School,Alliance Leichtman-Levine Family Foundation Environmental Science High,Active,Alliance Leichtman-Levine Family Foundation Environmental Science High School (Charter),Alliance Leichtman-Levine Family Foundation Environmental Science High School,True,2930 Fletcher Drive,2930 Fletcher Dr.,Los Angeles,Los Angeles, 90.9090909090909,False
19,Charter,LAUSD,Alliance Marc and Eva Stern Math and Science School,Alliance Marc & Eva Stern Math and Science,Active,Alliance Marc and Eva Stern Math and Science School (Charter),Alliance Marc and Eva Stern Math and Science School,True,5151 State University Drive,5151 State University Dr.,Los Angeles,Los Angeles, 88.57142857142857,False
20,Charter,LAUSD,Alliance Margaret M. Bloomfield Technology Academy High School,Alliance Margaret M. Bloomfield Technology Academy High,Active,Alliance Margaret M. Bloomfield Technology Academy High School (Charter),Alliance Margaret M. Bloomfield Technology Academy High School,True,7907 Santa Fe Ave,7907 Santa Fe Ave.,Huntington Park,Huntington Park, 91.19999999999999,False
21,Charter,LAUSD,Alliance Marine - Innovation and Technology 6-12 Complex,Alliance Marine - Innovation and Technology 6-12 Complex,Active,Alliance Marine - Innovation and Technology 6-12 Complex (Charter),Alliance Marine - Innovation and Technology 6-12 Complex (LAUSD),True,11933 Allegheny Street,11933 Allegheny St.,Sun Valley,Sun Valley, 91.66666666666666,True
22,Charter,LAUSD,Alliance Marine - Innovation and Technology 6-12 Complex,Alliance Marine - Innovation and Technology 6-12 Complex,Active,Alliance Marine - Innovation and Technology 6-12 Complex (Charter),Alliance Marine - Innovation and Technology 6-12 Complex (LAUSD),True,11933 Allegheny Street,11933 Allegheny St.,Sun Valley,Sun Valley, 91.66666666666666,True
23,Charter,,Alliance Morgan McKinzie High School,,,Alliance Morgan McKinzie High School (Charter),Alliance Morgan McKinzie High School,True,110 S. Townsend Ave.,,Los Angeles,,,False
24,Charter,,Alliance Ouchi-O'Donovan 6-12 Complex,,,Alliance Ouchi-O'Donovan 6-12 Complex (Charter),,True,5355 4th Avenue,,Los Angeles,,,True
25,Charter,LAUSD,Alliance Ouchi-O'Donovan 6-12 Complex,Alliance Ouchi-O'Donovan 6-12 Complex,Active,Alliance Ouchi-O'Donovan 6-12 Complex (Charter),Alliance Ouchi-O'Donovan 6-12 Complex (LAUSD),True,5356 South 5th Avenue,5356 South Fifth Ave.,Los Angeles,Los Angeles, 87.02290076335878,True
26,Charter,,Alliance Patti & Peter Neuwirth Leadership Academy,,,Alliance Patti & Peter Neuwirth Leadership Academy (Charter),Alliance Patti & Peter Neuwirth Leadership Academy,True,4610 S. Main Street,,Los Angeles,,,False
27,Charter,LAUSD,Alliance Piera Barbaglia Shaheen Health Services Academy,Alliance Piera Barbaglia Shaheen Health Services Academy,Active,Alliance Piera Barbaglia Shaheen Health Services Academy (Charter),Alliance Piera Barbaglia Shaheen Health Services Academy,True,New: 8515 Kansas Avenue,8515 Kansas Ave.,Los Angeles,Los Angeles, 89.1566265060241,False
28,Charter,,Alliance Renee & Meyer Luskin Academy High School,,,Alliance Renee & Meyer Luskin Academy High School (Charter),Alliance Renee & Meyer Luskin Academy High School,True,2941 West 70th Street,,Los Angeles,,,False
29,Charter,LAUSD,Alliance Susan and Eric Smidt Technology High School,Alliance Susan and Eric Smidt Technology High,Active,Alliance Susan and Eric Smidt Technology High School (Charter),Alliance Susan and Eric Smidt Technology High School,True,211 South Avenue 20,211 South Avenue 20,Los Angeles,Los Angeles, 90.80882352941177,False
30,Charter,LAUSD,Alliance Ted K. Tajima High School,Alliance Ted K. Tajima High,Active,Alliance Ted K. Tajima High School (Charter),Alliance Ted K. Tajima High School,True,"1552 Rockwood St, Los Angeles",1552 W. Rockwood St.,Los Angeles,Los Angeles, 86.91489361702128,False
31,Charter,LAUSD,Alliance Tennenbaum Family Technology High School,Alliance Tennenbaum Family Technology High,Active,Alliance Tennenbaum Family Technology High School (Charter),Alliance Tennenbaum Family Technology High School,True,2050 N. San Fernando Road,2050 North San Fernando Rd.,Los Angeles,Los Angeles, 86.62420382165605,False
32,Charter,,Animo City of Champions,,,Animo City of Champions (Charter),Animo City of Champions,True,9330 S. 8th Ave.,,Los Angeles,,,False
33,Charter,,Animo Compton Charter School,,,Animo Compton Charter School (Charter),Animo Compton Charter School,True,13305 S. San Pedro St.,,Los Angeles,,,False
34,Charter,LAUSD,Animo Ellen Ochoa,Animo Ellen Ochoa Charter Middle,Active,Animo Ellen Ochoa (Charter),Animo Ellen Ochoa,True,4360 Dozier St.,4360 Dozier St.,Los Angeles,Los Angeles, 95.0,False
35,Charter,,Animo Florence Firestone,,,Animo Florence Firestone (Charter),Animo Florence Firestone,True,155 W. 69th St.,,Los Angeles,,,False
36,Charter,,Animo Inglewood,,,Animo Inglewood (Charter),Animo Inglewood,True,3425 Manchester Blvd.,,Inglewood,,,False
37,Charter,,Animo Jackie Robinson,,,Animo Jackie Robinson (Charter),Animo Jackie Robinson,True,3500 S. Hill St.,,Los Angeles,,,False
38,Charter,,Animo James B. Taylor,,,Animo James B. Taylor (Charter),Animo James B. Taylor,True,810-820 E. 111th Place,,Los Angeles,,,False
39,Charter,,Animo Jefferson,,,Animo Jefferson (Charter),Animo Jefferson,True,1655 E. 27th Street,,Los Angeles,,,False
40,Charter,,Animo Leadership,,,Animo Leadership (Charter),Animo Leadership,True,11044 S. Freeman Ave.,,Los Angeles,,,False
41,Charter,LAUSD,Animo Legacy,Animo Legacy Charter Middle,Active,Animo Legacy (Charter),Animo Legacy,True,12226 S Western Ave.,12226 South Western Ave.,Los Angeles,Los Angeles, 92.56410256410255,False
42,Charter,,Animo Locke,,,Animo Locke (Charter),Animo Locke,True,325 E 111th St.,,Los Angeles,,,False
43,Charter,LAUSD,Animo Mae Jemison,Animo Mae Jemison Charter Middle,Active,Animo Mae Jemison (Charter),Animo Mae Jemison,True,12700 Avalon Blvd.,12700 S. Avalon Blvd.,Los Angeles,Los Angeles, 95.0,False
44,Charter,,Animo Oscar De La Hoya,,,Animo Oscar De La Hoya (Charter),Animo Oscar De La Hoya,True,1114 S. Lorena Street,,Los Angeles,,,False
45,Charter,,Animo Pat Brown,,,Animo Pat Brown (Charter),Animo Pat Brown,True,8255 Beach Street,,Los Angeles,,,False
46,Charter,,Animo Ralph Bunche,,,Animo Ralph Bunche (Charter),Animo Ralph Bunche,True,1655 E. 27th Street,,Los Angeles,,,False
47,Charter,LAUSD,Animo South Los Angeles,Animo South Los Angeles Charter,Active,Animo South Los Angeles (Charter),Animo South Los Angeles,True,11130 Western Avenue,11130 Western Ave.,Los Angeles,Los Angeles, 91.58878504672897,False
48,Charter,,Animo Venice,,,Animo Venice (Charter),Animo Venice,True,820 Broadway Street,,Venice,,,False
49,Charter,,Animo Watts,,,Animo Watts (Charter),Animo Watts,True,12628 Avalon Blvd.,,Los Angeles,,,False
50,Charter,LAUSD,Animo Westside,Animo Westside Charter Middle,Closed,Animo Westside (Charter),Animo Westside,True,5456 McConnell Ave.,5456 McConnell Ave.,Los Angeles,Los Angeles, 95.0,False
51,Charter,,APEX Academy,,,APEX Academy (Charter),APEX Academy,True,"1309 N Wilton Place, 3rd Floor",,Los Angeles,,,False
52,Charter,,Arts in Action Charter (East LA),,,Arts in Action Charter (East LA) (Charter),Arts in Action Charter (East LA),True,"1241 S Soto St., Ste. 212",,Los Angeles,,,False
53,Charter,,Aspire Antonio Maria Lugo Academy,,,Aspire Antonio Maria Lugo Academy (Charter),Aspire Antonio Maria Lugo Academy,True,6100 Carmelita Avenue,,Huntington Park,,,False
54,Charter,LAUSD,Aspire Centennial College Preparatory Academy,Aspire Centennial College Preparatory Academy,Active,Aspire Centennial College Preparatory Academy (Charter),Aspire Centennial College Preparatory Academy,True,2079 Saturn Ave,2079 Saturn Ave.,Huntington Park,Huntington Park, 92.64705882352942,False
55,Charter,LAUSD,Aspire Firestone Academy,Aspire Firestone Academy Charter,Active,Aspire Firestone Academy (Charter),Aspire Firestone Academy,True,8929 Kauffman Ave,8929 Kauffman Ave.,South Gate,South Gate, 95.0,False
56,Charter,LAUSD,Aspire Gateway Charter Academy,Aspire Gateway Academy Charter,Active,Aspire Gateway Charter Academy (Charter),Aspire Gateway Charter Academy,True,8929 Kauffman Ave,8929 Kauffman Ave.,South Gate,South Gate, 95.0,False
57,Charter,LAUSD,Aspire Inskeep Academy Charter,Aspire Inskeep Academy Charter,Active,Aspire Inskeep Academy Charter (Charter),Aspire Inskeep Academy Charter,True,123 W 59th St,123 West 59th St.,Los Angeles,Los Angeles, 92.79069767441861,False
58,Charter,LAUSD,Aspire Junior Collegiate Academy,Aspire Junior Collegiate Academy,Active,Aspire Junior Collegiate Academy (Charter),Aspire Junior Collegiate Academy,True,6724 S Alameda St,6724 South Alameda St.,Huntington Park,Huntington Park, 88.13559322033898,False
59,Charter,,Aspire Ollin University Preparatory Academy,,,Aspire Ollin University Preparatory Academy (Charter),Aspire Ollin University Preparatory Academy,True,2540 East 58th Street,,Huntington Park,,,False
60,Charter,LAUSD,Aspire Pacific Academy,Aspire Pacific Academy,Active,Aspire Pacific Academy (Charter),Aspire Pacific Academy,True,2565 58th St,2565 58th St.,Huntington Park,Huntington Park, 88.09523809523809,False
61,Charter,,Aspire Slauson Academy Elementary,,,Aspire Slauson Academy Elementary (Charter),Aspire Slauson Academy Elementary,True,123 W 59th St,,Los Angeles,,,False
62,Charter,,Aspire Juanita Tate Academy Elementary,,,Aspire Juanita Tate Academy Elementary (Charter),Aspire Juanita Tate Academy Elementary,True,123 W 59th St,,Los Angeles,,,False
63,Charter,,Aspire Titan Academy,,,Aspire Titan Academy (Charter),Aspire Titan Academy,True,6720 S Alameda St,,Huntington Park,,,False
64,Charter,LAUSD,Birmingham Community High School,Birmingham Community Charter High,Active,Birmingham Community High School (Charter),Birmingham Community High School,True,17000 Haynes Street,17000 Haynes St.,Lake Balboa,Lake Balboa, 86.53465346534652,False
65,Charter,Duarte Unified,California School of the Arts - San Gabriel Valley,California School of the Arts - San Gabriel Valley,Active,California School of the Arts - San Gabriel Valley (Charter),California School of the Arts - San Gabriel Valley,True,1401 Highland Avenue,1401 Highland Ave.,Duarte,Duarte, 90.12345679012346,False
66,Charter,,Camino Nuevo Dalzell Lance High School,,,Camino Nuevo Dalzell Lance High School (Charter),Camino Nuevo Dalzell Lance High School,True,3500 West Temple Street,,Los Angeles,,,False
67,Charter,,CHAMPS Charter High School of the Arts,,,CHAMPS Charter High School of the Arts (Charter),CHAMPS Charter High School of the Arts,True,6842 Van Nuys Blvd (5th Floor),,Van Nuys,,,False
68,Charter,,Conservation Corps of Long Beach,,,Conservation Corps of Long Beach (Charter),Conservation Corps of Long Beach,True,340 Nieto Avenue,,Long Beach,,,False
69,Charter,,DaVinci RISE High School (Charter),,,DaVinci RISE High School (Charter) (Charter),DaVinci RISE High School (Charter),True,201 N. Douglas St.,,El Segundo,,,False
70,Charter,LAUSD,Ednovate- Esperanza College Prep,Ednovate - Esperanza College Prep,Active,Ednovate- Esperanza College Prep (Charter),Ednovate- Esperanza College Prep,True,319 N Humphreys Ave,319 North Humphreys Ave.,Los Angeles,East Los Angeles, 87.8048780487805,False
71,Charter,,Ednovate-East College Prep,,,Ednovate-East College Prep (Charter),Ednovate-East College Prep,True,3825 N Mission Rd,,Los Angeles,,,False
72,Charter,LAUSD,Ednovate - USC Hybrid High College Prep,Ednovate - USC Hybrid High College Prep,Active,Ednovate - USC Hybrid High College Prep (Charter),Ednovate - USC Hybrid High College Prep,True,3939 S Vermont Ave,3939 S. Vermont Ave.,Los Angeles,Los Angeles, 92.3076923076923,False
73,Charter,LAUSD,Ednovate-Brio College Prep,Ednovate - Brio College Prep,Active,Ednovate-Brio College Prep (Charter),Ednovate-Brio College Prep,True,350 S Figueroa St Ste 100,350 South Figueroa St. Ste. 100,Los Angeles,Los Angeles, 87.09677419354838,False
74,Charter,LAUSD,Ednovate - South LA College Prep,Ednovate - South LA College Prep,Active,Ednovate - South LA College Prep (Charter),Ednovate - South LA College Prep,True,700 Wilshire Bl Ste 400,700 Wilshire Blvd. Ste. 400,Los Angeles,Los Angeles, 90.625,False
75,Charter,LAUSD,El Camino Real Charter High School,Camino Real High School,Closed,El Camino Real Charter High School (Charter),El Camino Real Charter High School,True,5440 Valley Circle Blvd.,5440 Valley Circle Blvd.,Woodland Hills,Los Angeles, 89.3,False
76,Charter,,Environmental Charter High School  – Gardena (ECHS-G),,,Environmental Charter High School  – Gardena (ECHS-G) (Charter),Environmental Charter High School  – Gardena (ECHS-G),True,2818 Manhattan Beach Blvd,,Gardena,,,False
77,Charter,,Environmental Charter High School – Lawndale (ECHS-L),,,Environmental Charter High School – Lawndale (ECHS-L) (Charter),Environmental Charter High School – Lawndale (ECHS-L),True,16315 Grevillea Avenue ,,Lawndale,,,False
78,Charter,,Environmental Charter Middle School – Gardena (ECMS-G),,,Environmental Charter Middle School – Gardena (ECMS-G) (Charter),Environmental Charter Middle School – Gardena (ECMS-G),True,812 W. 165th Place,,Gardena,,,False
79,Charter,,Environmental Charter Middle School – Inglewood (ECMS-I),,,Environmental Charter Middle School – Inglewood (ECMS-I) (Charter),Environmental Charter Middle School – Inglewood (ECMS-I),True,3600 W. Imperial Highway,,Inglewood,,,False
80,Charter,,Gabriella Charter Schools #1,,,Gabriella Charter Schools #1 (Charter),Gabriella Charter Schools #1,True,11435 Logan Street,,Los Angeles,,,False
81,Charter,,Gabriella Charter Schools #2,,,Gabriella Charter Schools #2 (Charter),Gabriella Charter Schools #2,True,3736 Trinity Street,,Los Angeles,,,False
82,Charter,Inglewood Unified,ICEF Inglewood Elementary Charter Academy,ICEF Inglewood Elementary Charter Academy,Active,ICEF Inglewood Elementary Charter Academy (Charter),ICEF Inglewood Elementary Charter Academy,True,434 S. Grevillea Ave.,434 South Grevillea Ave.,Inglewood,Inglewood, 93.41666666666666,False
83,Charter,,ICEF Innovation Los Angeles Elementary,,,ICEF Innovation Los Angeles Elementary (Charter),ICEF Innovation Los Angeles Elementary,True,5029 S. Vermont Ave,,Los Angeles,,,False
84,Charter,LAUSD,ICEF View Park Preparatory Elementary School,ICEF View Park Preparatory Elementary,Active,ICEF View Park Preparatory Elementary School (Charter),ICEF View Park Preparatory Elementary School,True,5311 S. Crenshaw Blvd.,5311 South Crenshaw Blvd.,Los Angeles,Los Angeles, 86.52482269503547,False
85,Charter,,ICEF View Park Preparatory High School,,,ICEF View Park Preparatory High School (Charter),ICEF View Park Preparatory High School,True,5701 S. Crenshaw Blvd,,Los Angeles,,,False
86,Charter,LAUSD,ICEF View Park Preparatory Middle School,ICEF View Park Preparatory Middle,Active,ICEF View Park Preparatory Middle School (Charter),ICEF View Park Preparatory Middle School,True,5311 S. Crenshaw Blvd.,5311 Crenshaw Blvd.,Los Angeles,Los Angeles, 89.81818181818181,False
87,Charter,LAUSD,ICEF Vista Elementary Charter Academy,ICEF Vista Elementary Academy,Active,ICEF Vista Elementary Charter Academy (Charter),ICEF Vista Elementary Charter Academy,True,4471 Inglewood Blvd,4471 Inglewood Blvd.,Los Angeles,Los Angeles, 89.51923076923076,False
88,Charter,LAUSD,ICEF Vista Middle Charter Academy,ICEF Vista Middle Academy,Active,ICEF Vista Middle Charter Academy (Charter),ICEF Vista Middle Charter Academy,True,4471 Inglewood Blvd,4471 Inglewood Blvd.,Los Angeles,Los Angeles, 89.0625,False
89,Charter,Los Angeles County Office of Education,Intellectual Virtues Academy of Long Beach ,Intellectual Virtues Academy,Active,Intellectual Virtues Academy of Long Beach  (Charter),Intellectual Virtues Academy of Long Beach ,True,1637 Long Beach Blvd.,1637 Long Beach Blvd.,Long Beach,Long Beach, 88.21428571428571,False
90,Charter,,Larchmont Charter School,,,Larchmont Charter School (Charter),Larchmont Charter School,True,"444 N. LARCHMONT BLVD., SUITE 207",,Los Angeles,,,False
91,Charter,LAUSD,Libertas College Preparatory Charter School,Libertas College Preparatory Charter,Active,Libertas College Preparatory Charter School (Charter),Libertas College Preparatory Charter School,True,5101 S. Western Avenue,5101 Western Ave.,Los Angeles,Los Angeles, 86.2037037037037,False
92,Charter,,Los Angeles Academy of Arts and Enterprise (LAAAE),,,Los Angeles Academy of Arts and Enterprise (LAAAE) (Charter),Los Angeles Academy of Arts and Enterprise (LAAAE),True,1200 Colton St.,,Los Angeles,,,False
93,Charter,,Matrix Academy for Success,,,Matrix Academy for Success (Charter),Matrix Academy for Success,True,1010 E 34th St.,,Los Angeles,,,False
94,Charter,,New Designs Charter School,,,New Designs Charter School (Charter),New Designs Charter School,True,1342 W. Adams Blvd.,,Los Angeles,,,False
95,Charter,SBE - New West Charter,New West Charter,New West Charter,Active,New West Charter (Charter),New West Charter,True,1905 Armacost Ave,1905 Armacost Ave.,Los Angeles,Los Angeles, 95.0,False
96,Charter,,North Valley Military Institute,,,North Valley Military Institute (Charter),North Valley Military Institute,True,12105 Allegheny Street,,Sun Valley,,,False
97,Charter,,Pacoima Charter School,,,Pacoima Charter School (Charter),Pacoima Charter School,True,11016 Norris Ave.,,Pacoima,,,False
98,Charter,,Para Los Ninos - Evelyn Thurman Gratts Primary Center (TK-2),,,Para Los Ninos - Evelyn Thurman Gratts Primary Center (TK-2) (Charter),Para Los Ninos - Evelyn Thurman Gratts Primary Center (TK-2),True,474 Hartford Avenue,,Los Angeles,,,False
99,Charter,,Para Los Ninos - ,,,Para Los Ninos -  (Charter),Para Los Ninos - ,True,,,,,,False
100,Charter,,Russell Westbrook Why Not? High School,,,Russell Westbrook Why Not? High School (Charter),Russell Westbrook Why Not? High School,True,,,,,,False
101,Charter,,Russell Westbrook Why Not? Middle School,,,Russell Westbrook Why Not? Middle School (Charter),Russell Westbrook Why Not? Middle School,True,,,,,,False
102,Charter,,Scholarship Prep,,,Scholarship Prep (Charter),Scholarship Prep,True,24910 S. Avalon Blvd,,Wilmington,,,False
103,Charter,,Synergy Academies,,,Synergy Academies (Charter),Synergy Academies,True,,,,,,False
104,Charter,,TIME Community Schools,,,TIME Community Schools (Charter),TIME Community Schools,True,,,,,,False
105,Charter,,Value Schools,,,Value Schools (Charter),Value Schools,True,,,,,,False
106,Charter,,Vaughn Next Century Learning Center,,,Vaughn Next Century Learning Center (Charter),Vaughn Next Century Learning Center,True,,,,,,False
107,Charter,,Vox Collegiate,,,Vox Collegiate (Charter),Vox Collegiate,True,,,,,,False
108,Charter,,We the People Charter School,,,We the People Charter School (Charter),We the People Charter School,True,,,,,,False
109,Charter,,YouthBuild Avalon / Mary B. Henry Academy,,,YouthBuild Avalon / Mary B. Henry Academy (Charter),YouthBuild Avalon / Mary B. Henry Academy,True,4920 S. Avalon Blvd.,,Los Angeles,,,False
110,Charter,,YouthBuild Canoga Park at R.U.T.H.,,,YouthBuild Canoga Park at R.U.T.H. (Charter),YouthBuild Canoga Park at R.U.T.H.,True,6925 Canoga Ave.,,Canoga Park,,,False
111,Charter,,YouthBuild Central LA / Youth Justice Coalition,,,YouthBuild Central LA / Youth Justice Coalition (Charter),YouthBuild Central LA / Youth Justice Coalition,True,7625 S. Central Ave.,,Los Angeles,,,False
112,Charter,,YouthBuild Compton,,,YouthBuild Compton (Charter),YouthBuild Compton,True,1108 N. Oleander Avenue,,Compton,,,False
113,Charter,,YouthBuild East LA,,,YouthBuild East LA (Charter),YouthBuild East LA,True,110 S. Garfield Ave.,,Montebello,,,False
114,Charter,,YouthBuild El Monte / SGVCC,,,YouthBuild El Monte / SGVCC (Charter),YouthBuild El Monte / SGVCC,True,3041 Peck Rd.,,El Monte,,,False
115,Charter,,YouthBuild Lennox / SBWIB,,,YouthBuild Lennox / SBWIB (Charter),YouthBuild Lennox / SBWIB,True,5021 Lennox Blvd.,,Lennox,,,False
116,Charter,,YouthBuild Norwalk / Field of Dreams,,,YouthBuild Norwalk / Field of Dreams (Charter),YouthBuild Norwalk / Field of Dreams,True,"12440 Firestone Blvd., Suite 2001",,Norwalk,,,False
117,Charter,,YouthBuild Pomona / SGVCC,,,YouthBuild Pomona / SGVCC (Charter),YouthBuild Pomona / SGVCC,True,305 E Arrow Hwy.,,Pomona,,,False
118,Charter,,YouthBuild South LA / CRCD Academy,,,YouthBuild South LA / CRCD Academy (Charter),YouthBuild South LA / CRCD Academy,True,400 West Washington Blvd.,,Los Angeles,,,False
119,Charter,,YouthBuild West Adams / Home Sweet Home,,,YouthBuild West Adams / Home Sweet Home (Charter),YouthBuild West Adams / Home Sweet Home,True,4103 West Adams Blvd.,,Los Angeles,,,False
120,Charter,,Youth Policy Institute (YPI) Charter Schools,,,Youth Policy Institute (YPI) Charter Schools (Charter),Youth Policy Institute (YPI) Charter Schools,True,,,,,,False
121,Culver City,,Culver City High School,,,Culver City High School (Culver City),Culver City High School,True,4401 Elenda Street,,Culver City,,,False
122,Culver City,,Culver City Middle School,,,Culver City Middle School (Culver City),Culver City Middle School,True,4601 Elenda Street,,Culver City,,,False
123,Culver City,,Culver City Unified School District iAcademy,,,Culver City Unified School District iAcademy (Culver City),Culver City Unified School District iAcademy,True,4034 Irving Place,,Culver City,,,False
124,Culver City,Culver City Unified,El Marino Elementary,El Marino Elementary,Active,El Marino Elementary (Culver City),El Marino Elementary,True,11450 Port Rd,11450 Port Rd.,Culver City,Culver City, 95.0,False
125,Culver City,Culver City Unified,El Rincon Elementary,El Rincon Elementary,Active,El Rincon Elementary (Culver City),El Rincon Elementary,True,11177 Overland Avenue,11177 Overland Ave.,Culver City,Culver City, 90.2654867256637,False
126,Culver City,Culver City Unified,Farragut Elementary,Farragut Elementary,Active,Farragut Elementary (Culver City),Farragut Elementary,True,10820 Farragut Drive,10820 Farragut Dr.,Culver City,Culver City, 89.90825688073394,False
127,Culver City,Culver City Unified,La Ballona Elementary,La Ballona Elementary,Active,La Ballona Elementary (Culver City),La Ballona Elementary,True,10915 Washington Blvd.,10915 Washington Blvd.,Culver City,Culver City, 95.0,False
128,Culver City,Culver City Unified,Linwood E. Howe Elementary,Linwood E. Howe Elementary,Active,Linwood E. Howe Elementary (Culver City),Linwood E. Howe Elementary,True,4100 Irving Place,4100 Irving Pl.,Culver City,Culver City, 90.43478260869566,False
129,Duarte,Duarte Unified,Andres Duarte Arts Academy (PK-8),Andres Duarte Arts Academy (PK-8),Closed,Andres Duarte Arts Academy (PK-8) (Duarte),Andres Duarte Arts Academy (PK-8),True,1433 Crestfield Drive,1433 Crestfield Dr.,Duarte,Duarte, 91.47286821705426,False
130,Duarte,Duarte Unified,Beardslee Dual Language Immersion Academy (PK-8),Beardslee Dual Language Immersion Academy (PK-8),Active,Beardslee Dual Language Immersion Academy (PK-8) (Duarte),Beardslee Dual Language Immersion Academy (PK-8),True,1212 Kellwill Way,1212 East Kellwil Way,Duarte,Duarte, 91.13924050632912,False
131,Duarte,Duarte Unified,Duarte High,Duarte High,Active,Duarte High (Duarte),Duarte High,True,1565 Central Ave,1565 East Central Ave.,Duarte,Duarte, 95.0,False
132,Duarte,Duarte Unified,Maxwell Academy (PK-8),Maxwell Academy (PK-8),Active,Maxwell Academy (PK-8) (Duarte),Maxwell Academy (PK-8),True,733 Euclid Ave,733 Euclid Ave.,Duarte,Duarte, 95.0,False
